#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      252.9   133.8    93.8   143.3   155.2   238.4   279.9   301.3   316.2   334.1   357.0   394.2   497.4  1692.2  4867.7  29877.6    30000  1746041632226  1746041642398
read      255.2   131.6    93.8   145.5   157.9   241.0   282.8   304.0   318.4   336.6   359.8   396.4   499.2  1282.8  4841.8  30023.8    30005  1746041643914  1746041654051
read      259.6   125.9    93.8   146.7   159.5   246.1   288.8   310.9   326.4   344.5   367.9   402.9   497.3  1375.9  4777.1  30042.1    30010  1746041655564  1746041665674
read      256.0   118.7    93.8   145.1   157.8   243.3   286.1   308.0   322.5   340.5   363.2   398.3   488.9  1074.0  4365.7  30067.2    30015  1746041667190  1746041677290
read      260.8   113.8    93.8   146.8   159.8   248.3   291.1   313.2   329.0   346.7   371.0   407.8   499.7  1336.3  3727.6  30061.8    30020  1746041678804  1746041688906
read      262.9   125.0    93.8   146.4   159.7   248.5   291.8   314.6   331.0   349.8   373.8   413.3   516.1  1564.7  4567.7  30062.5    30025  1746041690419  1746041700518
read      259.2   134.2    93.8   145.8   158.6   243.7   287.1   310.1   326.1   344.7   369.8   408.6   509.0  1323.7  4992.8  30021.3    30030  1746041702031  1746041712137
read      260.8   120.5    93.8   145.1   158.1   246.7   290.6   313.4   329.6   347.6   372.4   411.4   508.4  1442.6  3765.9  30073.8    30035  1746041713654  1746041723769
read      256.8   130.0    93.8   145.3   157.8   242.0   284.0   306.1   321.1   340.2   364.6   401.5   499.6  1703.4  4914.9  30019.1    30040  1746041725286  1746041735389
read      255.3   125.0    93.8   144.7   157.2   240.8   282.7   304.4   319.2   338.1   362.3   399.4   495.2  1688.2  3969.5  30063.9    30045  1746041736900  1746041747005
read      261.6   127.9    93.8   146.2   159.2   247.6   289.8   311.9   327.5   345.7   370.6   408.8   517.7  1727.4  4627.7  30070.8    30050  1746041748518  1746041758632
read      263.7   134.7    93.8   146.8   159.8   249.0   291.4   313.6   329.5   347.2   372.4   412.8   534.2  1823.2  4660.4  30027.7    30055  1746041760146  1746041770254
