#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      407.2   315.3    93.8   159.7   179.9   322.3   404.0   470.3   532.9   608.5   712.2   928.9  1524.0  3888.5  6226.3  30074.6    30000  1746045618085  1746045628238
read      328.6   275.2    93.8   149.1   164.8   287.0   339.8   371.4   397.7   432.4   490.9   596.8  1132.8  4280.5  6386.0  30024.2    30005  1746045629751  1746045639890
read      352.4   431.1    93.8   146.8   162.6   283.9   339.2   373.1   401.6   441.3   507.8   667.6  1756.8  6334.8  9441.6  30107.4    30010  1746045641406  1746045651506
read      289.5   223.7    93.8   143.8   157.6   260.5   307.3   334.1   354.1   379.3   415.2   487.7   793.7  3626.3  6236.4  30130.4    30015  1746045653019  1746045663125
read      287.8   236.8    93.8   143.3   157.1   260.1   307.1   333.3   352.6   376.8   412.9   479.7   770.4  4146.3  7293.6  29996.9    30020  1746045664642  1746045674744
read      284.2   218.0    93.8   142.1   155.7   257.1   303.9   330.2   349.1   373.7   408.5   470.5   757.8  3604.4  6319.2  29975.7    30025  1746045676258  1746045686358
read      275.3   232.7    93.8   140.3   152.8   245.8   291.3   316.6   336.0   360.1   393.2   453.4   728.5  4201.3  6304.3  29970.5    30030  1746045687871  1746045697971
read      274.7   198.3    93.8   141.7   154.8   250.1   295.2   320.0   339.1   362.6   394.6   452.2   667.3  3292.8  6196.3  30025.8    30035  1746045699486  1746045709589
read      286.9   241.2    93.8   142.4   155.9   257.2   303.3   329.6   348.9   373.8   409.8   480.0   794.7  3707.9  7017.3  30013.9    30040  1746045711102  1746045721210
read      275.8   231.7    93.8   140.5   153.3   248.2   293.0   317.8   336.6   359.4   390.8   446.4   699.5  3872.7  6362.5  30049.7    30045  1746045722723  1746045732830
read      294.1   231.3    93.8   144.3   158.5   266.7   314.1   340.9   362.1   389.0   426.5   501.6   778.7  3233.7  7568.5  30090.9    30050  1746045734343  1746045744444
read      290.3   213.6    93.8   142.3   156.3   262.9   310.1   336.8   357.1   382.6   419.2   493.4   835.0  3325.8  6214.3  30112.6    30055  1746045745956  1746045756060
read      293.8   220.1    93.8   143.4   157.6   266.9   314.6   340.7   361.1   386.5   422.9   496.2   791.9  3541.7  6183.2  30031.2    30060  1746045757573  1746045767674
