#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      218.9    77.1   127.6   161.9   168.9   211.4   229.7   239.8   247.9   256.9   271.1   295.4   368.9   600.9  3346.7  29898.6    30000  1746049720458  1746049730605
read      221.6    74.8   127.6   163.0   170.6   213.4   232.1   243.2   251.2   262.0   275.3   302.6   384.4   669.7  3206.5  29964.4    30005  1746049732118  1746049742252
read      220.2    74.1   127.6   164.3   173.1   213.9   231.5   241.6   249.1   257.7   270.6   292.5   351.6   518.2  3381.3  30117.1    30010  1746049743766  1746049753867
read      218.8    73.5   127.6   162.7   170.1   211.7   230.0   240.0   247.8   256.1   269.7   292.2   359.5   683.6  3039.9  30015.5    30015  1746049755379  1746049765480
read      220.3    71.0   127.6   163.0   170.8   213.1   231.5   242.0   249.8   259.2   272.2   295.2   366.9   614.6  3194.9  29961.1    30020  1746049766994  1746049777095
read      221.1    81.9   127.6   162.8   170.6   213.7   232.4   243.3   250.9   260.8   273.4   296.8   367.0   614.8  3716.9  30141.7    30025  1746049778609  1746049788713
read      220.1    72.0   127.6   162.8   170.5   212.9   231.4   242.0   249.9   259.6   272.8   296.4   365.0   579.4  3111.6  30036.7    30030  1746049790226  1746049800349
read      218.2    83.4   118.1   161.2   168.1   210.9   230.0   240.4   248.5   257.7   271.1   293.8   358.3   579.8  4067.6  30067.0    30035  1746049801863  1746049811964
read      218.9    78.2   127.6   161.6   168.8   211.6   230.4   240.9   248.9   258.2   271.7   294.8   360.3   607.0  3717.5  30069.0    30040  1746049813477  1746049823577
read      221.6    88.8   127.6   162.9   170.5   213.6   232.4   243.5   251.3   261.7   274.5   299.7   371.9   668.2  3698.5  30024.3    30045  1746049825091  1746049835198
read      219.5    79.2   127.6   162.3   169.7   212.4   231.1   241.6   249.4   258.8   271.8   294.4   358.7   571.9  3489.5  30033.1    30050  1746049836712  1746049846815
read      220.6    77.9   127.6   163.0   170.8   213.3   231.9   242.7   250.4   260.3   273.1   296.1   364.4   615.7  3793.0  30008.4    30055  1746049848328  1746049858427
read      217.9    67.7   118.1   161.2   167.9   210.8   229.9   240.3   248.6   258.0   271.5   294.5   362.7   568.3  2800.7  30064.9    30060  1746049859940  1746049870043
read      217.5    72.9   127.6   161.4   168.2   210.5   229.2   239.3   247.4   256.0   269.8   292.6   360.1   575.5  3274.3  30021.9    30065  1746049871556  1746049881657
read      221.9    82.1   127.6   164.2   172.8   214.8   232.9   243.6   251.1   261.0   273.3   296.4   363.8   572.3  3555.6  30071.7    30070  1746049883171  1746049893275
read      224.2    82.9   127.6   163.4   171.5   215.9   235.4   247.2   254.8   266.2   280.0   306.8   385.9   667.9  3231.5  30041.7    30075  1746049894787  1746049904889
read      224.4    88.6   118.1   161.9   169.4   213.4   233.0   244.9   253.1   265.2   281.1   314.5   432.9   991.1  3814.7  30111.5    30080  1746049906404  1746049916509
read      226.1    84.0   127.6   164.3   172.8   216.3   235.3   247.1   254.6   266.5   281.7   312.3   416.7   871.5  3197.9  30146.6    30085  1746049918023  1746049928130
read      230.5   120.2   118.1   162.0   169.5   213.8   233.7   246.0   254.4   267.5   286.2   327.2   562.0  1817.4  3801.4  30063.2    30090  1746049929642  1746049939741
read      225.5   107.9   118.1   161.7   168.9   213.1   232.7   244.7   253.2   265.8   283.2   319.5   459.1  1080.3  3489.3  30061.7    30095  1746049941257  1746049951355
read      220.5    78.0   127.6   159.5   166.5   210.1   229.7   240.8   249.6   260.6   275.5   310.4   431.5   867.5  3069.1  30130.4    30100  1746049952869  1746049962968
read      232.5   150.6   118.1   160.7   167.5   212.3   232.4   244.9   253.8   268.0   289.9   344.2   595.0  2284.8  5125.3  30119.4    30105  1746049964482  1746049974582
