Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746616427713, 5.265, 5.265
1746616432720, .450, 5.233
1746616437725, .300, 5.200
1746616442731, .450, 5.169
1746616447737, .200, 5.137
1746616452742, .400, 5.107
1746616457748, .252, 5.076
1746616462754, .612, 5.048
1746616467760, .416, 5.020
1746616472766, .519, 4.993
1746616477772, .416, 4.965
1746616482778, .470, 4.939
1746616487785, .431, 4.913
1746616492790, .426, 4.887
1746616497797, .482, 4.862
1746616502804, .699, 4.838
1746616507810, .565, 4.815
1746616512816, .713, 4.793
1746616517822, .604, 4.770
1746616522829, .715, 4.748
1746616527837, .881, 4.729
1746616532843, .956, 4.709
1746616537849, .905, 4.689
1746616542856, 1.023, 4.671
1746616547863, 1.722, 4.657
1746616552869, 1.668, 4.642
1746616557878, 1.618, 4.627
1746616562887, 2.082, 4.614
1746616567894, 3.335, 4.609
1746616572901, 3.636, 4.604
1746616577909, 4.037, 4.601
1746616582918, 4.694, 4.602
1746616587926, 7.073, 4.612
1746616592932, 6.760, 4.622
1746616597941, 7.536, 4.636
1746616602949, 8.904, 4.657
1746616607957, 14.025, 4.698
1746616612963, 11.410, 4.730
1746616617972, 12.157, 4.765
1746616622982, 12.722, 4.802
1746616627990, 22.905, 4.883
1746616632997, 16.081, 4.936
1746616638006, 17.676, 4.997
1746616643015, 19.698, 5.070
1746616648023, 30.590, 5.191
1746616653030, 21.367, 5.270
1746616658039, 20.268, 5.343
1746616663047, 20.329, 5.416
1746616668056, 32.571, 5.542
1746616673063, 21.673, 5.620
1746616678072, 20.739, 5.692
1746616683082, 20.793, 5.764
1746616688090, 30.726, 5.878
1746616693097, 21.790, 5.952
1746616698107, 20.225, 6.019
1746616703117, 20.074, 6.085
1746616708125, 31.006, 6.198
1746616713131, 20.556, 6.264
1746616718141, 19.914, 6.327
1746616723150, 20.427, 6.392
1746616728159, 30.292, 6.498
1746616733166, 21.367, 6.565
1746616738175, 20.569, 6.628
1746616743185, 20.793, 6.692
1746616748194, 31.344, 6.798
1746616753200, .300, 6.767
1746616758206, .350, 6.736
1746616763212, .350, 6.706
1746616768218, .349, 6.676
1746616773224, .400, 6.647
1746616778230, .349, 6.617
1746616783235, .300, 6.588
1746616788241, .250, 6.559
1746616793246, .449, 6.531
1746616798252, .300, 6.502
