time,          CPUtotal, CPU0, CPU1, CPU2
1746719904908, 13.072, 24.421, 19.482, 3.636
1746719905928, 1.228, .980, 1.960, 0
1746719906946, .982, .990, 0, 0
1746719907965, 1.228, 1.941, 1.960, 0
1746719908984, 1.228, 0, 1.960, 1.960
1746719910003, 1.225, 0, .980, 1.941
1746719911021, 1.231, 2.912, 0, .980
1746719912040, .738, .990, 1.941, .980
1746719913059, .740, .980, .990, 1.941
1746719914078, 1.228, .990, 0, 0
1746719915097, .738, 0, 2.912, 0
1746719916117, .980, .980, .980, 0
1746719917137, 1.228, 1.960, .980, 1.941
1746719918156, .737, 0, 1.960, 0
1746719919176, 1.231, 1.960, 0, .990
1746719920195, .985, .980, 2.884, 0
1746719921214, .985, 1.960, .990, 0
1746719922233, 1.222, 0, 1.960, 1.941
1746719923255, 1.228, .980, 0, .980
1746719924273, .987, 0, 1.960, .990
1746719925292, .995, 1.980, 1.980, .980
1746719926310, 1.288, 1.052, 1.075, 0
1746719927330, 1.028, 2.083, 1.063, 1.000
1746719928350, 1.799, 1.063, 2.127, 1.000
1746719929369, 1.030, 2.083, 1.063, 0
1746719930390, 1.522, 1.030, 1.052, 2.941
1746719931410, 1.225, .980, 1.960, .990
1746719932428, 1.030, 2.083, 2.083, 1.000
1746719933450, 1.574, 1.098, 2.173, 0
1746719934470, 1.832, 2.150, 1.098, 2.020
1746719935491, 1.319, 2.150, 3.225, 2.040
1746719936512, 1.578, 2.173, 1.098, 1.020
1746719937542, 1.492, 1.000, 1.010, 1.000
1746719938561, 1.485, 1.000, 1.980, 1.960
1746719939582, 1.861, 2.222, 1.136, 1.020
1746719940603, 1.876, 3.333, 3.333, 1.020
1746719941624, 1.072, 1.123, 1.136, 1.010
1746719942646, 1.336, 1.123, 1.136, 1.020
1746719943667, 1.319, 3.225, 2.173, 0
1746719944686, .982, 0, .980, 1.960
1746719945706, 1.295, 1.075, 3.157, 1.000
1746719946727, 2.439, 5.555, 2.352, 2.040
1746719947749, 1.907, 1.190, 2.298, 0
1746719948771, 1.907, 4.494, 3.448, 2.040
1746719949794, 1.897, 2.298, 2.325, 0
1746719950817, 2.290, 2.083, 2.083, 2.941
1746719951837, .982, .990, 0, .990
1746719952856, 3.571, 5.813, 5.813, 2.061
1746719953881, 2.754, 5.813, 2.380, 1.041
1746719954903, 2.228, 2.409, 4.705, 1.041
1746719955927, 3.021, 4.705, 4.705, 3.061
1746719956949, 3.825, 5.882, 5.813, 0
1746719957970, .738, 1.941, 0, .980
1746719958989, 2.577, 3.191, 4.166, 2.000
1746719960013, 4.189, 6.097, 7.142, 1.063
1746719961036, 5.027, 8.235, 7.142, 3.157
1746719962060, 4.178, 8.235, 7.058, 2.083
1746719963084, 3.631, 4.878, 4.819, 1.052
1746719964106, 1.842, 3.225, 4.301, 1.030
1746719965126, .982, 0, .980, .970
1746719966147, 6.267, 10.344, 10.344, 2.127
1746719967171, 5.099, 8.433, 8.433, 2.127
1746719968194, 4.802, 9.523, 8.333, 1.075
1746719969217, 5.322, 9.638, 9.523, 2.127
1746719970241, 5.099, 7.407, 7.317, 4.210
1746719971265, 1.237, 2.912, 1.980, 0
1746719972284, 3.544, 3.157, 5.102, 2.970
1746719973309, 6.267, 10.975, 13.095, 2.150
1746719974334, 6.534, 12.048, 9.876, 1.075
1746719975358, 6.760, 10.975, 10.975, 2.127
1746719976382, 7.584, 15.294, 14.942, 2.150
1746719977407, 4.569, 7.777, 5.747, 2.061
1746719978426, .982, 0, .980, 0
1746719979445, 9.090, 18.085, 16.129, 3.125
1746719980472, 10.924, 16.867, 17.857, 4.255
1746719981496, 8.781, 17.647, 15.662, 3.191
1746719982522, 10.084, 19.047, 16.470, 2.127
1746719983547, 9.348, 18.072, 15.853, 3.225
1746719984573, 2.992, 5.000, 3.030, 1.980
1746719985593, 3.015, 4.040, 5.000, 1.980
1746719986620, 13.611, 27.272, 22.619, 2.173
1746719987645, 14.285, 26.666, 27.472, 4.255
1746719988672, 12.146, 23.809, 18.292, 4.255
1746719989699, 11.864, 24.705, 17.283, 3.260
