#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      156.4   116.9    50.7    91.5   102.1   150.5   167.4   176.8   183.9   192.6   203.3   222.0   268.2  1120.5  7399.7   4978.6     5000  1746617869588  1746617874793
read      169.9    92.0    59.1   102.9   114.0   165.9   184.2   194.6   201.7   211.3   222.7   241.6   286.0  1024.6  4938.3  10007.8    10000  1746617876295  1746617881491
read      174.7    56.4    50.7   103.4   114.8   172.4   192.4   203.0   211.6   220.9   233.0   252.4   295.3   361.4  1154.8  15058.4    15000  1746617882994  1746617888160
read      181.5    55.7    54.7   102.7   114.1   180.2   202.2   214.3   222.8   232.6   246.2   266.9   311.2   392.2  1886.1  19991.8    20000  1746617889662  1746617894830
read      187.3    59.5    54.7   102.3   113.4   186.6   211.1   224.0   232.6   243.8   257.6   279.7   324.4   405.3  1040.0  24963.0    25000  1746617896332  1746617901499
read      195.0    67.7    54.7   102.6   113.7   194.5   221.5   234.7   245.2   256.6   271.6   294.8   346.3   583.6  1496.9  30043.6    30000  1746617903002  1746617908169
read      201.4    70.6    50.7   103.1   114.7   202.1   231.4   246.3   256.4   268.6   283.7   306.8   356.3   466.6  1119.7  35124.6    35000  1746617909671  1746617914838
read      195.2    84.0    50.7    97.5   108.1   195.3   225.6   240.2   250.9   263.5   278.5   303.0   354.2   436.2  2843.6  40185.0    40000  1746617916341  1746617921510
read      194.0    70.9    46.9    96.9   106.9   193.1   226.2   242.1   253.3   266.6   282.9   307.8   357.5   429.7  1217.5  44950.2    45000  1746617923013  1746617928182
read      195.9    79.5    50.7    95.6   105.3   193.2   229.6   247.0   259.0   272.6   290.3   316.0   370.1   459.1  2119.0  49872.0    50000  1746617929684  1746617934853
read      195.5    74.8    54.7    95.3   104.7   192.0   230.9   248.6   260.7   273.7   291.6   317.6   371.3   449.4   841.4  54945.4    55000  1746617936355  1746617941523
read      193.5    85.7    54.7    93.9   102.7   187.4   228.3   246.9   259.6   273.4   292.0   318.1   371.9   511.2  2158.0  60102.4    60000  1746617943025  1746617948197
read      195.5    76.2    50.7    93.5   102.4   189.4   233.9   253.1   265.9   280.0   297.2   324.1   377.7   451.9   699.5  65134.4    65000  1746617949699  1746617954868
read      195.5    85.1    54.7    93.1   101.7   186.5   234.2   254.2   267.4   282.0   299.1   325.6   380.1   499.1  2055.6  69925.2    70000  1746617956370  1746617961538
read      192.3    79.5    50.7    93.0   101.3   179.1   228.9   251.3   265.6   281.2   299.8   328.0   383.5   462.8   678.8  74857.2    75000  1746617963041  1746617968209
read      191.8    85.2    50.7    92.8   101.0   175.9   227.4   250.5   265.5   281.8   301.4   330.5   389.1   476.7  2154.7  79659.3    80000  1746617969713  1746617974881
read      191.5    80.0    50.7    92.7   101.1   175.8   227.3   250.9   266.1   282.5   301.8   330.5   385.4   460.9   685.8  85184.8    85000  1746617976384  1746617981550
read      189.6    81.4    50.7    91.7   100.0   171.8   223.6   248.7   264.7   281.6   301.9   331.9   389.9   481.4  1206.4  90171.4    90000  1746617983053  1746617988220
read      189.7    92.6    50.7    92.1   100.1   169.6   222.6   249.0   265.5   282.9   303.7   334.9   397.1   500.3  1783.3  94937.4    95000  1746617989723  1746617994890
read      188.5    81.1    50.7    92.5   100.6   168.6   219.2   246.4   263.6   281.7   303.0   334.1   395.5   485.9  1113.8 100171.9   100000  1746617996393  1746618001561
read      188.8    81.6    50.7    93.6   101.4   166.9   216.8   246.2   264.9   284.2   306.9   339.3   400.9   490.1   624.1 104904.2   105000  1746618003064  1746618008233
read      188.7    89.8    54.7    94.0   102.2   167.5   215.2   244.2   262.9   282.1   304.2   335.8   397.1   504.4  1732.7 109879.8   110000  1746618009736  1746618014904
read      188.4    83.8    54.7    94.0   102.1   166.5   213.6   243.2   262.6   282.5   305.5   338.0   401.3   531.4  1693.4 114817.6   115000  1746618016407  1746618021577
read      187.0    82.0    50.7    93.5   101.9   165.5   210.8   239.9   259.9   280.6   304.2   337.1   398.7   507.4  1189.8 119943.8   120000  1746618023079  1746618028248
read      187.0    83.4    50.7    95.1   103.3   164.3   208.1   237.4   258.4   280.0   304.8   338.9   402.6   542.2  1331.2 124853.7   125000  1746618029751  1746618034919
read      187.1    81.9    50.7    95.8   104.5   165.3   207.6   235.8   256.9   278.7   303.6   337.4   400.7   506.3  1319.2 130441.2   130000  1746618036421  1746618041591
read      191.1   128.2    54.7    96.8   105.7   166.9   209.8   238.7   260.4   283.9   310.7   346.2   424.5   591.4  2018.1 134743.0   135000  1746618043094  1746618048261
read      188.9    81.5    50.7    97.2   106.4   167.3   208.1   235.4   256.4   279.1   305.2   340.4   406.8   542.3  1039.1 140104.8   140000  1746618049763  1746618054932
read      194.4    92.5    54.7    99.7   109.9   173.0   214.0   240.9   261.5   284.1   310.2   345.4   419.8   592.6  2221.8 145246.3   145000  1746618056435  1746618061606
read      187.2    84.6    54.7    99.3   108.8   167.3   203.6   229.0   248.5   270.9   297.0   334.1   401.7   519.1  2005.3 149844.4   150000  1746618063109  1746618068280
read      188.5    79.0    54.7    99.6   109.5   168.6   205.2   230.2   249.6   272.4   299.7   337.7   406.9   544.3  1083.0 154984.4   155000  1746618069782  1746618074951
read      193.6    85.9    50.7   102.2   112.5   174.3   211.6   235.6   255.0   276.8   303.5   339.9   410.7   595.5  1615.4 160198.4   160000  1746618076454  1746618081624
