#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      192.1    75.3    74.4   103.1   115.3   188.7   210.4   222.5   231.1   241.7   255.4   279.0   343.7   989.3  2018.2   4986.6     5000  1746485235273  1746485240497
read      206.2    62.3    63.8   110.5   128.3   204.2   227.3   239.8   249.5   261.2   275.5   300.4   358.6   880.6  1014.9   9998.4    10000  1746485242001  1746485247213
read      217.3    66.9    68.9   112.0   128.7   216.9   242.4   256.7   267.5   279.6   295.2   320.5   379.0   516.9  1166.2  15009.6    15000  1746485248716  1746485253902
read      238.2    75.4    63.8   116.1   134.4   240.2   269.9   285.8   296.4   310.7   328.1   356.0   413.9   506.1  1385.8  20008.4    20000  1746485255405  1746485260590
read      238.3    85.5    68.9   112.4   127.8   240.1   272.2   289.9   302.6   317.6   337.7   368.0   430.4   526.8  1653.3  24872.9    25000  1746485262093  1746485267278
read      236.4    92.5    63.8   110.4   123.8   237.6   272.3   291.0   304.2   318.9   339.7   370.8   438.7   564.0  2002.5  30092.6    30000  1746485268781  1746485273966
read      235.6    86.9    63.8   110.2   122.7   235.4   273.7   293.2   307.5   323.5   344.7   376.9   447.2   586.0  1114.4  35047.0    35000  1746485275469  1746485280653
read      253.8    95.7    63.8   115.9   132.3   251.9   294.8   316.9   333.0   351.0   374.0   409.8   493.8   687.7  1101.4  39913.6    40000  1746485282156  1746485287339
read      253.8   106.0    74.4   116.9   133.0   248.2   294.3   317.7   334.7   353.9   377.8   415.4   498.1   755.8  2614.0  44955.8    45000  1746485288842  1746485294028
read      253.1   133.4    68.9   111.4   125.7   247.2   296.4   322.3   340.4   361.0   386.2   423.8   501.8   652.9  3052.0  50020.2    50000  1746485295531  1746485300715
read      247.9   111.7    63.8   109.9   122.8   239.2   290.7   316.6   335.0   356.1   382.6   422.9   504.7   722.2  2903.7  54925.8    55000  1746485302219  1746485307404
read      247.5   104.9    68.9   109.6   123.0   237.3   289.0   316.5   336.1   358.5   386.2   427.3   507.0   651.1  1629.8  59997.2    60000  1746485308907  1746485314093
read      248.8   108.5    68.9   110.1   123.4   235.7   289.7   318.3   338.6   361.8   390.5   432.5   522.4   765.9  2219.0  65156.9    65000  1746485315597  1746485320780
read      252.0   113.9    68.9   110.1   123.6   240.2   294.0   323.0   343.7   367.8   397.0   440.0   530.8   681.5  1593.8  69929.4    70000  1746485322284  1746485327469
read      249.5   109.7    68.9   110.4   123.8   233.4   288.9   318.9   340.4   365.3   396.2   441.4   540.6   764.7  1492.4  74686.8    75000  1746485328973  1746485334162
read      252.9   130.4    63.8   110.8   124.4   234.3   291.0   323.3   346.3   372.9   405.0   455.7   558.5   727.4  1764.8  80144.3    80000  1746485335666  1746485340849
read      260.1   179.3    68.9   112.4   126.6   237.3   296.5   330.9   355.6   384.2   419.6   471.3   593.8   979.3  4414.1  85043.5    85000  1746485342353  1746485347540
read      276.2   161.1    63.8   115.3   131.7   253.6   313.6   348.3   374.1   404.9   444.9   507.3   674.9  1035.9  3956.6  90102.8    90000  1746485349044  1746485354228
read      285.5   149.6    68.9   118.1   134.8   254.1   318.6   359.1   388.7   423.5   469.2   549.3   794.4  1209.3  1811.1  94991.8    95000  1746485355731  1746485360915
read      270.8   126.0    68.9   118.0   134.0   245.7   306.8   344.7   371.9   402.7   441.4   500.9   638.3   888.2  1480.9 100104.4   100000  1746485362418  1746485367605
read      309.9   174.7    68.9   126.4   144.3   268.4   342.1   390.4   425.9   467.4   523.9   622.2   868.8  1343.0  3024.5 105203.2   105000  1746485369109  1746485374294
read      360.8   242.3    74.4   136.7   156.9   288.6   376.9   439.8   489.3   552.0   650.8   832.7  1263.5  1863.5  4004.6 109997.1   110000  1746485375798  1746485380983
read      323.9   201.9    68.9   127.3   144.6   262.5   345.4   406.0   451.7   506.2   581.4   712.4  1043.1  1551.6  2252.3 115038.1   115000  1746485382487  1746485387671
read      481.6   457.0    68.9   151.9   173.1   289.1   399.7   563.1   724.5   912.3  1162.2  1433.5  2048.9  3258.7  7797.8 119388.0   120000  1746485389175  1746485394359
read      583.6   599.6    74.4   173.8   200.3   327.5   429.5   635.7   926.6  1281.7  1461.2  1667.5  2838.2  4699.0  8051.2 111619.6   125000  1746485395863  1746485401046
read      563.0   590.2    68.9   169.2   195.2   316.6   414.3   594.7   836.3  1174.7  1417.0  1646.1  2895.7  4619.7  8034.4 115505.6   130000  1746485402550  1746485407735
read      532.0   572.4    80.4   162.0   186.8   296.2   379.1   543.6   758.9  1077.0  1366.2  1595.3  2817.2  4347.1  8052.5 122433.0   135000  1746485409238  1746485414424
read      539.0   570.7    74.4   164.4   186.6   291.0   381.5   546.0   852.5  1211.0  1401.5  1585.4  2714.3  4037.7  8000.5 120669.0   140000  1746485415929  1746485421114
read      566.0   611.0    74.4   165.5   190.2   307.6   383.7   522.5   920.5  1306.9  1453.6  1634.7  2918.6  4541.3  8015.3 115316.6   145000  1746485422617  1746485427802
read      555.4   559.5    74.4   167.3   193.0   315.0   412.6   619.8   878.8  1201.7  1405.9  1591.0  2574.5  4378.9  8039.5 117320.8   150000  1746485429305  1746485434490
read      515.0   553.3    63.8   160.9   179.8   283.5   370.9   510.1   759.0  1100.2  1347.0  1548.7  2644.9  4390.7  8009.9 126317.8   155000  1746485435994  1746485441181
read      546.7   601.4    74.4   164.8   189.6   294.6   361.7   485.5   837.3  1252.8  1432.6  1610.2  2872.9  4677.9  8089.8 119338.1   160000  1746485442685  1746485447871
read      549.9   610.0    74.4   159.8   183.9   294.3   357.2   467.6   888.4  1297.2  1444.8  1604.7  3024.4  4991.9  8025.8 118735.6   165000  1746485449374  1746485454560
read      575.4   625.9    80.4   164.9   190.1   308.8   380.7   542.2  1027.7  1337.3  1465.7  1613.2  3099.1  5647.9  8096.4 113530.2   170000  1746485456063  1746485461250
read      573.5   617.3    74.4   163.1   187.6   308.3   384.2   543.2  1012.8  1343.9  1486.3  1663.5  2944.8  4767.8  8061.6 113918.0   175000  1746485462754  1746485467941
read      575.5   606.8    74.4   164.6   189.8   309.3   390.7   595.7  1048.7  1340.0  1471.8  1631.8  2739.3  4949.8  8055.9 113480.5   180000  1746485469445  1746485474630
read      547.0   571.3    74.4   163.7   187.9   297.1   380.8   568.4   887.5  1257.2  1426.3  1605.4  2569.9  4408.3  7963.3 119180.4   185000  1746485476133  1746485481319
read      530.7   597.3    74.4   161.0   184.7   284.8   356.3   474.7   755.6  1170.4  1394.1  1594.5  3015.6  4807.0  8069.5 123025.0   190000  1746485482822  1746485488007
read      571.7   606.6    68.9   167.4   192.4   313.1   394.7   565.4   934.9  1305.1  1462.4  1643.3  2855.6  4969.3  8049.6 114209.6   195000  1746485489511  1746485494695
read      557.1   610.9    80.4   165.1   190.2   296.6   374.8   521.5   883.4  1285.5  1451.8  1646.3  2993.8  5244.4  8046.9 117170.5   200000  1746485496200  1746485501385
read      565.5   598.0    74.4   164.3   189.5   305.8   379.0   554.3  1005.0  1325.3  1455.9  1606.2  2750.3  4693.9  8052.1 115343.4   205000  1746485502888  1746485508073
read      555.5   595.3    74.4   164.6   188.9   301.3   378.2   551.3   897.1  1271.5  1434.8  1608.5  2814.8  4859.2  8029.1 117548.6   210000  1746485509577  1746485514763
read      594.4   627.0    74.4   170.0   196.3   323.1   410.1   616.5  1062.7  1347.8  1486.2  1679.8  2973.3  5278.3  8036.1 109979.6   215000  1746485516268  1746485521454
read      536.9   584.5    68.9   162.4   187.4   291.1   358.8   503.7   814.1  1216.5  1414.3  1599.4  2793.4  4590.3  8070.2 121456.6   220000  1746485522958  1746485528142
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.45%,30.81%,100.00%
