Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747316950466, 10.393, 24.737, 10.170, 2.612, 2.822
1747316955483, .498, .399, .200, .400, .597
1747316960500, .499, .795, .795, .399, .400
1747316965517, .398, .200, .399, .398, .398
1747316970534, .299, .596, .199, .399, .399
1747316975552, .448, .598, .200, .200, .598
1747316980569, .349, .399, .398, .399, .399
1747316985586, .449, .200, .400, .597, .597
1747316990603, 1.573, 3.061, 2.240, .203, .806
1747316995621, 2.663, 4.990, 4.382, .606, .809
1747317000639, 3.703, 6.732, 6.138, .606, .816
1747317005658, 5.768, 10.291, 10.384, 1.012, 1.239
1747317010675, 7.615, 13.539, 13.601, 1.428, 1.449
1747317015695, 7.107, 11.844, 12.476, 1.425, 1.455
1747317020715, 6.710, 11.984, 11.650, 1.422, 1.656
1747317025735, 8.204, 15.799, 13.476, 1.221, .843
1747317030753, 10.571, 18.110, 19.581, 1.673, 1.716
1747317035774, 8.147, 13.944, 15.444, 1.859, .631
1747317040795, 8.290, 14.228, 14.960, 2.061, 1.473
1747317045817, 9.738, 16.901, 17.460, 1.871, 1.290
1747317050834, 12.991, 22.664, 23.874, 2.100, 1.797
1747317055856, 10.118, 18.108, 17.600, 2.277, 1.077
1747317060880, 10.433, 19.114, 18.800, 1.878, 1.084
1747317065904, 12.133, 22.312, 21.138, 2.736, 1.106
1747317070922, 17.698, 36.772, 26.391, 3.609, 1.070
1747317075946, 13.239, 23.647, 22.845, 4.077, .869
1747317080971, 13.870, 23.952, 25.098, 2.985, 1.552
1747317085998, 16.518, 27.217, 30.544, 2.941, 2.107
1747317091017, 21.016, 38.899, 34.215, 4.646, 1.674
1747317096047, 17.752, 29.492, 32.761, 2.742, 1.830
1747317101073, 18.021, 29.388, 32.952, 4.008, 2.797
1747317106101, 19.968, 33.069, 35.316, 3.282, 1.724
1747317111118, 27.650, 46.065, 47.180, 4.555, 3.084
1747317116148, 20.734, 34.892, 37.191, 3.225, 2.107
1747317121177, 22.051, 38.022, 38.157, 3.218, 2.364
1747317126205, 24.651, 43.820, 41.353, 3.433, 2.211
1747317131223, 34.028, 53.977, 59.964, 5.263, 2.652
1747317136255, 24.347, 40.571, 43.970, 3.744, 1.830
1747317141282, 25.432, 44.052, 43.925, 3.930, 1.851
1747317146310, 27.961, 49.539, 47.242, 4.094, 1.435
1747317151327, 39.280, 68.495, 63.701, 4.555, 2.337
1747317156356, 29.552, 49.727, 49.822, 4.395, 2.743
1747317161389, 30.167, 50.545, 50.889, 3.769, 2.238
1747317166418, 32.540, 54.757, 54.432, 4.026, 2.469
1747317171437, 45.907, 73.773, 73.972, 7.542, 2.835
1747317176468, 33.062, 54.609, 54.690, 4.618, 2.255
1747317181504, 33.333, 55.239, 56.028, 4.026, 3.473
1747317186538, 34.914, 58.645, 59.714, 3.050, 2.777
1747317191557, 51.097, 79.588, 79.026, 5.620, 6.430
1747317196591, 35.097, 57.504, 59.180, 3.938, 4.774
1747317201628, 35.460, 57.960, 58.812, 4.805, 4.113
1747317206665, 36.420, 59.430, 59.139, 6.295, 2.763
1747317211684, 54.094, 85.890, 86.725, 6.074, 7.715
1747317216721, 37.349, 60.511, 60.948, 5.829, 5.706
1747317221762, 37.187, 61.595, 60.583, 6.546, 4.896
1747317226795, 37.141, 63.446, 61.296, 6.407, 4.600
1747317231826, 57.694, 90.510, 91.009, 13.399, 7.356
1747317236846, 38.388, 64.367, 65.503, 3.728, 10.513
1747317241888, 38.865, 64.244, 64.053, 4.978, 10.789
1747317246934, 39.871, 64.728, 63.428, 3.752, 16.042
1747317251971, 60.340, 97.029, 92.337, 15.454, 15.625
1747317256990, 41.675, 63.039, 68.849, 14.000, 10.696
1747317262029, 41.545, 65.810, 64.579, 13.129, 13.810
1747317267075, 41.397, 66.600, 63.513, 10.596, 14.360
1747317272113, 60.791, 96.039, 92.954, 21.111, 16.976
1747317277132, 44.462, 69.758, 70.000, 18.629, 10.997
1747317282172, 17.897, 28.600, 29.083, 7.581, 4.157
1747317287190, .448, .598, .399, .597, .399
1747317292207, .349, .399, .200, .200, .399
1747317297224, .299, 0, .597, .399, .399
1747317302240, .598, .598, .400, .399, .400
1747317307258, .249, .199, .399, .399, .399
1747317312275, .449, .399, .399, .598, .200
1747317317292, .299, .597, .399, 0, .400
1747317322309, .448, .200, .597, .597, .398
1747317327326, .399, .398, .399, .199, .597
1747317332344, .449, .200, .597, .598, .400
1747317337362, .349, .597, .399, .200, .398
1747317342379, .548, .200, .598, .400, .598
1747317347396, .399, .795, .199, .399, 0
