#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      181.7    74.4    68.9   112.4   126.3   175.6   193.3   203.3   211.6   220.7   234.0   260.5   345.1   661.4  2884.8   4974.2     5000  1747237070321  1747237075548
read      197.4    68.6    68.9   117.8   135.9   192.7   212.7   223.9   231.7   241.8   255.0   281.9   370.8   602.4  2996.5   9969.0    10000  1747237077052  1747237082268
read      203.6    64.9    63.8   113.3   130.6   202.0   224.5   235.5   244.8   254.3   269.0   291.9   352.0   567.6  1999.4  14991.8    15000  1747237083772  1747237088953
read      204.1    63.7    63.8   109.9   123.9   202.2   227.6   240.9   250.6   262.9   278.5   302.5   369.1   583.8   992.3  19859.6    20000  1747237090457  1747237095641
read      207.0    81.3    59.1   105.6   117.3   205.5   232.9   247.3   257.4   270.8   288.7   316.2   390.2   670.7  2704.8  25098.8    25000  1747237097146  1747237102327
read      214.8    85.9    63.8   103.8   115.2   214.8   246.4   263.3   275.1   289.9   307.9   334.9   396.4   538.9  2548.2  30039.6    30000  1747237103832  1747237109014
read      211.0    81.6    63.8   102.0   112.9   210.0   243.6   260.7   273.1   288.1   306.3   334.6   397.1   540.6  2163.1  34900.0    35000  1747237110518  1747237115704
read      217.4    83.2    54.7   103.9   114.3   215.4   253.3   272.7   286.5   301.8   320.5   351.0   422.5   625.9  1235.0  40126.2    40000  1747237117208  1747237122392
read      221.5   101.0    63.8   100.6   111.2   218.3   262.0   284.1   298.4   315.0   335.7   366.6   438.4   596.8  1458.5  44964.4    45000  1747237123896  1747237129078
read      218.9   100.9    63.8   101.4   111.3   209.1   255.8   278.4   293.8   312.0   335.0   371.4   470.1   829.9  2171.6  49871.8    50000  1747237130581  1747237135763
read      221.8    96.4    63.8   100.1   110.2   211.2   262.6   288.1   304.7   322.9   346.1   383.2   469.6   648.3  1347.4  54870.0    55000  1747237137269  1747237142450
read      225.0   119.8    59.1    99.9   110.3   206.3   259.7   287.4   306.1   327.1   355.1   398.9   535.7  1409.2  3031.1  59832.6    60000  1747237143954  1747237149135
read      217.6    97.1    59.1    98.4   108.3   202.8   257.3   284.3   301.9   320.8   345.0   382.2   469.6   668.4  1321.6  64883.0    65000  1747237150639  1747237155820
read      220.5   108.9    59.1    98.3   108.3   204.8   259.8   287.6   306.0   326.3   351.9   390.1   473.1   907.3  2570.1  69831.0    70000  1747237157324  1747237162504
read      215.8    98.6    59.1    98.8   108.4   197.3   253.1   283.2   302.6   323.9   349.0   385.7   460.2   641.4  2041.6  74820.6    75000  1747237164009  1747237169192
read      219.4   106.0    63.8    98.5   108.3   197.3   256.2   288.1   309.3   332.7   360.6   399.8   492.9   709.4  2035.8  80111.9    80000  1747237170696  1747237175878
read      220.9   105.9    59.1    98.8   108.6   199.3   257.6   289.4   311.2   335.3   363.6   402.7   495.9   711.3  1794.0  85069.2    85000  1747237177382  1747237182562
read      221.6   103.5    59.1    99.7   109.8   199.0   257.6   290.9   313.5   337.8   366.3   404.6   494.8   672.1  1341.1  90049.3    90000  1747237184066  1747237189248
read      223.0   110.2    54.7   101.3   111.2   196.5   255.7   291.8   316.2   342.9   373.4   418.0   506.1   675.9  1546.2  95084.5    95000  1747237190752  1747237195933
read      225.9   110.3    63.8   102.1   112.3   198.1   258.4   295.0   320.2   348.5   380.4   425.9   523.2   705.8  1652.7  99569.0   100000  1747237197437  1747237202620
read      221.8   110.4    63.8   101.3   111.4   193.3   250.3   286.6   312.4   340.8   373.2   421.8   526.1   730.9  1570.5 104975.2   105000  1747237204125  1747237209309
read      230.5   122.7    59.1   104.5   115.8   199.8   257.3   293.8   319.9   349.3   383.9   433.8   571.1  1119.4  2717.8 110074.7   110000  1747237210814  1747237215996
read      227.8   117.1    63.8   103.8   114.4   196.4   254.8   294.5   322.6   352.0   385.3   432.4   544.7   790.6  2906.5 115224.5   115000  1747237217501  1747237222685
read      246.3   154.8    63.8   107.3   119.5   211.2   276.5   319.2   348.3   379.8   417.1   473.4   620.6   950.3  3562.7 119874.8   120000  1747237224191  1747237229371
read      257.4   144.8    54.7   109.6   121.9   215.2   283.6   331.8   364.7   399.9   444.9   522.1   721.5  1137.9  1903.8 124916.5   125000  1747237230875  1747237236055
read      269.7   169.4    63.8   113.6   127.1   219.2   290.7   341.3   377.1   417.5   468.6   561.1   829.3  1382.2  4108.9 129875.5   130000  1747237237559  1747237242743
read      352.4   289.2    68.9   126.5   141.8   234.2   337.7   436.1   509.6   601.3   725.7   952.1  1404.6  2117.4  4412.4 134974.0   135000  1747237244247  1747237249429
read      411.4   423.0    68.9   136.3   152.6   230.4   292.9   413.6   588.8   804.2  1082.1  1348.4  1740.4  3091.6  7470.9 137995.0   140000  1747237250933  1747237256125
read      429.0   489.0    68.9   145.2   161.1   223.6   265.7   325.6   526.9   918.3  1267.7  1448.1  2168.2  3605.3  7724.8 143075.6   145000  1747237257629  1747237262813
read      471.0   556.6    68.9   150.1   168.9   241.6   286.8   341.4   594.0  1135.7  1349.8  1493.9  2635.2  4302.2  7984.3 136598.6   150000  1747237264317  1747237269500
read      462.2   539.2    68.9   145.5   164.4   242.1   291.2   361.1   599.3   978.0  1306.6  1498.5  2675.1  3976.5  7953.8 139274.4   155000  1747237271004  1747237276183
read      468.5   617.3    68.9   148.4   168.3   237.4   275.3   316.7   422.0   942.0  1334.4  1547.5  3157.9  5455.7  8115.3 139342.8   160000  1747237277687  1747237282867
read      443.4   572.2    63.8   148.2   163.9   225.9   261.9   299.9   399.6   871.6  1303.0  1491.3  2857.1  4548.4  8021.9 146828.4   165000  1747237284372  1747237289557
read      472.3   642.6    74.4   149.8   170.5   237.9   272.6   306.4   369.6   964.6  1350.7  1553.9  3291.5  6109.3  8121.4 138792.8   170000  1747237291061  1747237296242
read      463.0   539.7    68.9   147.2   165.6   242.2   293.7   370.3   607.3   976.3  1303.8  1485.7  2657.9  4063.0  7951.6 140369.3   175000  1747237297746  1747237302928
read      470.7   621.9    74.4   150.2   170.5   238.4   274.8   312.9   390.7   975.2  1346.4  1553.9  3202.1  5403.6  8060.7 139088.1   180000  1747237304433  1747237309618
read      463.9   616.4    63.8   150.6   168.2   233.9   271.2   307.0   372.7   951.6  1339.2  1553.3  3184.1  5231.5  8074.0 140867.2   185000  1747237311122  1747237316306
read      468.3   619.0    74.4   153.0   171.7   235.3   273.1   313.0   402.4   945.2  1337.3  1543.3  3210.4  5326.9  8130.4 139709.9   190000  1747237317810  1747237322992
read      475.7   626.5    63.8   149.0   170.4   242.4   280.3   319.2   422.1   989.0  1342.5  1546.4  3233.5  5749.6  8096.4 137672.8   195000  1747237324497  1747237329679
read      454.5   614.7    68.9   150.2   167.3   228.0   262.7   296.0   359.9   887.4  1323.4  1521.3  3250.2  5169.5  8097.4 143847.0   200000  1747237331184  1747237336365
read      462.5   618.5    74.4   147.9   166.5   235.7   274.0   314.6   418.1   914.4  1318.0  1522.3  3123.5  5319.3  8631.0 141381.1   205000  1747237337869  1747237343049
read      460.3   618.3    74.4   149.8   169.2   232.5   266.6   298.3   362.6   892.9  1331.3  1541.5  3207.5  5305.5  8061.2 142183.1   210000  1747237344553  1747237349743
read      450.8   560.8    68.9   151.3   168.0   232.0   271.1   319.6   499.0   898.3  1288.8  1482.9  2820.4  4412.6  8002.6 144506.4   215000  1747237351246  1747237356428
read      489.8   624.4    68.9   152.4   174.3   249.8   291.9   338.4   482.3  1083.8  1372.7  1584.0  3176.2  5018.8  8116.9 133408.3   220000  1747237357933  1747237363117
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 79.16%,25.13%,100.00%
