Random waveform, random seed
Total number of intervals = 120 (87311, 175122, 19544, 148156, 72814, 131310, 104534, 6405, 173117, 96952, 159387, 170166, 36098, 114517, 141604, 22756, 56922, 93451, 121633, 39345, 81173, 99432, 21243, 179871, 41779, 41697, 56395, 157553, 153081, 63735, 141901, 116552, 35131, 134300, 122598, 145633, 21330, 62072, 23013, 5604, 8297, 116913, 164318, 101100, 49715, 76227, 100937, 99710, 137979, 12967, 32905, 169443, 124534, 133267, 95907, 90392, 152469, 107662, 84867, 54723, 60587, 91921, 125164, 53122, 100767, 55291, 148219, 75208, 118433, 158209, 146219, 71483, 165607, 66900, 139225, 128394, 91807, 143497, 160640, 51567, 51501, 161074, 169278, 161988, 132020, 126532, 128483, 5983, 80921, 55638, 36253, 89816, 102695, 76539, 86745, 122250, 88325, 68692, 157029, 103310, 82249, 154451, 165263, 52269, 114125, 31937, 11005, 131651, 52912, 75976, 69955, 33519, 168291, 16478, 74311, 88348, 107149, 29910, 68992, 114628)
Average QPS expected = 94919
Timestamp start: 1747074489639
Timestamp end: 1747075689877

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      231.9   149.2    59.1   102.7   113.0   208.8   271.4   304.3   326.4   350.7   380.0   423.2   508.0   709.6  5352.8  87184.3    87311
read      512.9   558.9    74.4   151.4   175.3   267.4   318.9   399.8   853.9  1295.7  1422.5  1568.2  2494.0  3875.6  7812.0 175047.0   175122
read      294.0   436.5    59.1   111.1   125.4   208.8   242.8   264.0   281.1   308.4   386.1   890.3  1631.7  7519.5  8107.2  19632.2    19544
read      238.2   217.9    63.8   110.5   121.5   194.7   238.9   265.3   284.3   306.9   336.8   393.5  1423.2  2483.9  4426.6 148083.9   148156
read      230.4   116.6    59.1    99.0   108.2   208.8   271.5   305.1   328.6   356.0   388.9   433.7   522.4   715.6  2195.7  72796.8    72814
read      205.5   123.7    63.8   104.6   114.3   178.3   221.2   249.5   270.2   293.5   321.1   364.2   482.0  1603.0  3238.0 131222.0   131310
read      220.5   128.3    59.1   102.1   111.4   185.2   243.7   278.3   302.6   331.3   370.0   435.2   590.0  1108.4  3142.4 104371.8   104534
read      173.3    63.5    74.4   106.0   117.0   167.9   188.1   199.2   207.4   216.9   230.3   251.7   311.0   499.0  2085.6   6401.4     6405
read      272.6   219.3    54.7   128.5   144.3   234.7   277.5   301.8   319.4   342.2   373.5   437.9  1437.7  2467.4  4044.0 172849.3   173117
read      225.4   116.3    59.1   103.3   113.3   197.7   258.8   291.6   314.0   339.9   372.7   424.5   537.6   747.7  2978.7  96825.0    96952
read      287.7   263.5    63.8   125.6   141.1   235.2   281.5   308.1   327.9   353.4   391.7   492.1  1535.6  2716.2  6203.1 159546.6   159387
read      234.4    96.7    59.1   129.0   143.5   219.9   256.0   277.3   293.5   313.2   339.3   382.5   493.3   893.9  2662.6 170273.0   170166
read      225.1    91.3    59.1   103.7   114.9   225.2   263.2   282.2   295.0   311.1   331.4   363.8   437.7   624.2  2210.4  36090.6    36098
read      229.8   132.5    63.8   108.1   118.8   196.5   249.9   282.7   306.2   334.1   372.3   445.9   660.3  1143.1  2842.4 114567.3   114517
read      212.8    96.3    59.1   111.7   123.0   191.6   232.8   259.5   278.8   301.4   329.9   372.2   475.4   768.3  1968.2 141296.1   141604
read      222.8    91.9    63.8   107.5   120.1   219.3   253.3   272.0   285.8   301.2   320.5   353.1   427.9   582.5  3047.3  22720.9    22756
read      250.1   124.4    59.1   102.2   112.4   232.5   295.9   331.3   355.9   383.1   415.4   461.1   550.1   802.8  2431.4  56971.9    56922
read      245.9   164.9    63.8   106.6   117.4   206.7   270.6   308.0   335.6   370.6   420.7   503.8   691.0  1217.8  4458.3  93590.7    93451
read      221.9   145.6    59.1   109.7   120.2   193.1   240.5   270.5   291.9   316.2   346.3   394.9   535.0  1914.1  3824.7 121571.5   121633
read      243.7   105.8    59.1   103.3   114.4   235.7   288.6   316.0   334.9   356.1   381.8   419.2   493.3   675.5  1640.5  39359.7    39345
read      238.0   165.0    63.8   103.3   113.1   203.7   268.9   302.8   326.6   356.4   397.3   464.8   622.9  1754.9  4435.4  81160.9    81173
read      216.2   114.9    63.8   103.3   112.7   186.1   241.5   273.5   295.3   319.6   350.6   400.8   575.9   975.2  2891.9  99549.6    99432
read      222.6   146.6    63.8   106.7   118.8   219.4   254.9   273.2   286.5   301.0   318.8   346.3   409.4   556.7  9203.3  21238.1    21243
read      341.6   178.3    68.9   171.4   197.1   322.2   372.4   399.5   419.7   442.9   472.9   528.7  1062.3  2058.6  4253.9 179715.8   179871
read      236.8   116.6    59.1   102.9   113.2   227.5   275.9   302.3   320.5   342.7   370.3   409.7   493.0  1065.6  2750.9  41705.4    41779
read      243.3   108.4    63.8   102.4   113.2   234.5   289.4   317.8   337.2   358.7   384.2   421.2   491.9   590.6  1507.3  41745.0    41697
read      246.0   134.5    59.1   101.7   111.9   230.5   290.1   321.5   344.1   370.3   401.9   447.7   539.5  1019.9  3962.5  56321.8    56395
read      247.0   203.5    59.1   118.9   132.1   210.3   253.4   279.0   297.8   320.7   352.7   411.0  1337.5  2429.1  5474.0 157388.5   157553
read      215.7   131.3    59.1   113.2   124.9   193.1   231.8   256.2   274.4   296.0   323.7   367.2   484.3  1701.8  3979.7 153019.2   153081
read      226.7   160.7    59.1   101.5   111.2   209.9   262.1   285.6   302.0   320.8   347.3   395.7   519.9  2020.6  5958.4  63847.7    63735
read      213.6   125.6    63.8   110.1   120.6   187.6   229.4   255.8   275.3   298.3   327.2   371.0   521.4  1563.5  3291.1 141740.8   141901
read      260.7   212.4    63.8   108.5   119.7   203.3   261.2   298.9   329.7   371.8   443.7   596.0  1096.9  2378.4  4177.8 116541.7   116552
read      228.4   108.1    63.8   101.0   111.8   224.6   266.3   287.3   301.9   318.3   340.3   373.8   463.9  1143.0  2366.3  35130.1    35131
read      286.7   357.1    59.1   112.1   124.7   212.0   259.0   286.1   306.8   333.3   373.9   602.1  1786.8  3489.2  7719.0 134140.0   134300
read      302.0   314.7    59.1   111.1   123.9   212.1   263.9   299.1   330.6   381.3   536.9   948.5  1575.0  2895.9  7178.4 122587.5   122598
read      243.1   229.8    63.8   113.1   125.3   200.7   245.3   271.7   291.2   314.4   344.8   401.8  1400.4  3233.2  5746.4 145598.7   145633
read      214.7    84.1    59.1   104.4   116.5   213.4   243.7   259.8   270.8   284.3   301.2   330.1   411.6   826.6  2454.3  21278.1    21330
read      240.8   131.3    59.1    99.9   110.3   224.7   284.3   315.2   336.5   360.7   390.3   433.0   534.4  1278.7  3138.5  62079.1    62072
read      220.6   135.6    59.1   103.9   116.2   219.5   251.8   268.6   280.4   294.1   312.2   340.4   418.4   812.1  8142.2  22981.2    23013
read      179.7   207.3    59.1   107.0   118.4   170.8   191.6   202.4   211.0   220.1   233.4   257.0   332.2   873.7 15306.6   5599.1     5604
read      190.2   281.8    63.8   108.4   121.6   181.1   202.6   214.6   223.2   233.1   247.4   270.2   332.8   616.8 16516.5   8297.0     8297
read      260.7   200.4    59.1   108.6   119.8   201.6   258.8   298.7   332.8   381.0   460.5   614.3  1081.1  1856.9  3415.4 116738.7   116913
read      235.5   200.5    59.1   119.4   133.0   208.8   248.3   271.7   289.3   310.3   337.9   383.1   539.3  3319.7  5444.8 164137.9   164318
read      239.9   137.6    59.1   105.9   116.7   203.3   265.8   303.1   330.4   364.5   409.0   480.5   646.0  1172.6  2600.1 101157.8   101100
read      237.0   111.1    63.8   101.1   111.5   228.3   279.9   306.5   324.6   345.5   372.4   413.0   502.8   941.9  2149.4  49711.4    49715
read      236.2   129.3    59.1   101.9   112.0   213.1   275.3   308.1   330.6   357.1   390.7   439.0   549.2  1152.0  2856.5  76195.2    76227
read      241.8   170.0    63.8   105.6   116.3   203.3   267.0   305.6   333.9   368.4   413.5   483.9   648.2  1280.7  4707.1 101030.8   100937
read      245.2   147.1    59.1   106.9   117.8   206.6   270.6   309.4   337.7   371.8   417.5   492.6   685.6  1387.8  3098.6  99715.1    99710
read      220.8   163.1    59.1   111.5   122.9   194.1   236.5   263.9   283.5   306.4   334.6   376.7   498.8  3019.2  4941.0 137800.3   137979
read      203.2    66.6    59.1   109.8   124.8   202.0   226.3   238.9   248.8   260.5   274.8   300.8   366.3   537.7  1498.4  12936.3    12967
read      235.2   105.8    63.8   102.6   114.0   232.1   275.1   297.1   312.0   328.9   349.8   385.0   467.9  1025.9  2720.5  32940.1    32905
read      312.3   257.3    63.8   148.5   169.1   273.2   318.0   344.4   365.2   390.9   427.2   498.2  1462.4  3424.5  6446.5 169433.5   169443
read      221.8   146.5    63.8   109.2   119.8   192.0   237.5   266.8   287.8   311.8   341.1   389.0   652.5  1847.9  3287.3 124557.7   124534
read      225.0   134.6    63.8   113.4   125.8   200.4   244.7   271.9   292.1   315.4   344.3   390.9   525.0  1695.6  3694.3 133066.5   133267
read      241.2   153.2    63.8   106.3   117.0   204.9   268.0   305.2   332.3   365.8   410.0   479.1   632.1  1311.7  5086.6  96008.9    95907
read      231.1   164.5    59.1   105.4   115.7   200.7   261.9   295.0   317.6   343.9   379.9   437.3   569.8  1010.6  3814.8  90433.7    90392
read      226.2   126.5    63.8   117.6   130.6   204.2   244.5   269.1   287.6   309.5   337.9   383.3   518.1  1670.1  3436.7 152436.4   152469
read      213.0   132.2    63.8   103.2   112.6   182.2   234.1   266.4   288.4   312.3   341.3   390.0   568.0  1278.6  3018.4 107818.0   107662
read      231.6   128.6    63.8   101.8   111.3   200.3   266.7   302.8   328.2   358.3   395.6   450.1   559.5   968.9  2710.7  84886.2    84867
read      233.8   111.0    59.1    99.3   108.9   222.4   278.0   308.3   328.6   350.9   377.6   416.0   491.0   688.5  1664.0  54636.0    54723
read      238.1   148.7    59.1    99.6   109.3   222.3   282.2   314.9   337.0   361.5   390.2   430.3   509.2   899.8  2780.8  60559.0    60587
