Random waveform, random seed
Total number of intervals = 90 (134603, 144349, 139618, 82984, 81651, 78820, 89074, 55802, 170723, 121080, 9703, 125225, 24361, 72128, 151970, 127982, 173719, 70778, 44042, 91528, 171594, 62517, 152488, 73366, 128512, 152795, 166869, 99766, 21247, 64726, 169094, 37322, 29333, 167939, 46727, 70369, 160029, 111323, 178342, 59887, 47892, 59791, 10745, 147352, 26032, 165327, 85566, 81492, 37116, 67329, 174778, 12386, 65335, 78322, 119656, 53845, 10912, 140723, 95437, 74042, 113954, 133379, 45560, 59131, 110876, 26017, 89267, 144054, 83384, 155930, 166868, 81568, 89314, 69571, 59602, 151859, 13276, 161853, 152320, 47260, 102310, 74816, 9301, 23908, 166010, 8815, 81313, 166477, 152368, 154768)
Average QPS expected = 95151
Timestamp start: 1747155128266
Timestamp end: 1747156028503

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      195.5    87.5    63.8   103.3   112.8   175.8   214.7   239.1   258.4   280.6   307.4   343.5   420.2   582.9  2260.3 134621.6   134603
read      201.0    88.2    63.8   106.2   116.5   181.5   219.1   242.9   261.5   283.7   311.3   351.0   444.6   848.3  1667.0 144314.0   144349
read      202.3   117.7    63.8   104.1   114.2   179.4   218.2   242.8   262.2   285.1   313.8   356.7   465.2  1384.7  3905.8 139639.2   139618
read      202.5    91.8    63.8   100.9   109.5   183.3   232.9   258.9   276.3   295.9   319.1   354.6   438.1   675.4  1927.5  83013.1    82984
read      212.8   114.6    63.8   103.3   112.6   191.0   242.6   269.7   288.4   309.6   335.6   374.3   488.2  1020.7  3459.7  81803.8    81651
read      217.3   104.6    59.1   104.4   114.2   197.9   249.3   276.4   295.6   317.3   344.1   387.4   484.8   753.9  2495.6  78825.6    78820
read      234.1   215.3    63.8   104.2   114.0   195.7   250.5   283.1   306.8   334.9   372.6   440.0   681.1  3030.1  7764.3  89194.6    89074
read      241.2   201.8    54.7   103.1   112.8   215.7   267.0   296.7   318.4   343.3   374.5   424.9   650.7  2851.9  7537.9  55885.8    55802
read      302.6   224.3    63.8   141.1   161.2   265.2   312.9   341.7   364.6   393.2   432.4   503.8  1426.0  2688.1  4741.2 170610.9   170723
read      211.0   117.7    63.8   106.0   116.2   186.9   230.0   257.2   277.6   301.8   331.2   373.4   479.6  1384.2  3496.1 121011.8   121080
read      192.0    86.6    68.9   108.3   122.3   186.6   206.0   216.7   225.4   234.8   250.4   276.9   369.7   875.7  3173.1   9740.7     9703
read      229.1   179.1    63.8   108.9   119.7   195.0   240.4   268.5   289.0   312.7   342.7   394.0  1091.1  1974.6  4651.7 124877.5   125225
read      204.4   118.8    63.8   110.0   121.6   202.7   225.8   237.5   247.3   258.2   273.2   299.9   377.0   752.4  4045.7  24343.5    24361
read      210.4    89.3    63.8   104.1   113.5   195.3   244.1   268.3   285.1   304.3   327.9   364.9   442.7   612.3  1274.1  72174.9    72128
read      231.8   103.2    63.8   118.2   132.2   213.8   256.8   282.7   301.5   323.7   353.1   398.2   499.1   773.9  3038.8 151770.1   151970
