Random waveform, supplied seed
Total number of intervals = 85 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600)
Average QPS expected = 95797
Timestamp start: 1747359314635
Timestamp end: 1747360164882

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      189.7   177.4    63.8   108.7   123.4   182.3   201.7   213.7   222.3   232.5   246.8   269.7   326.5   917.6 10214.9   8150.3     8195
read      211.2    99.8    63.8   110.8   122.3   191.6   231.9   257.3   275.6   297.6   325.1   366.9   456.5   713.3  2423.2 158508.4   158594
read      206.3   109.9    59.1   106.2   116.8   183.5   225.3   251.9   271.8   294.8   322.4   364.7   456.8   930.3  3433.0 149747.2   149766
read      191.6   125.2    63.8   107.9   123.1   186.6   208.4   220.2   229.2   239.4   253.4   275.6   334.0   877.0  6371.4  10375.0    10382
read      261.8   119.5    63.8   124.2   140.4   237.4   290.8   324.0   350.2   382.2   421.8   476.8   579.7   734.3  2788.7 170485.7   170548
read      217.9   109.2    63.8   111.1   123.0   197.7   241.3   267.9   287.3   309.8   338.1   382.3   469.9   745.5  2893.4 150479.4   150565
read      210.7    93.6    54.7   106.4   117.2   188.0   233.3   261.7   282.1   305.6   334.5   378.1   466.8   745.8  1685.4 137411.4   137144
read      215.0   102.0    63.8   109.4   120.6   193.5   237.3   264.8   284.5   307.5   336.3   380.9   470.8   853.5  2746.0 143585.9   143496
read      228.9   123.5    63.8   113.5   126.8   207.1   252.3   279.0   298.6   321.3   352.2   400.2   509.2  1368.0  3553.3 144822.6   144743
read      214.6   110.4    63.8   103.7   114.0   187.5   237.7   268.8   290.9   315.5   345.3   393.6   497.9  1190.7  2657.6 116533.6   116745
read      217.0   115.2    63.8   106.9   118.0   192.4   239.3   268.3   289.2   313.3   343.1   391.1   493.8  1158.6  3282.3 129337.5   129314
read      228.0   116.7    63.8   113.9   127.3   206.7   251.9   278.7   298.2   321.1   351.7   398.7   500.8  1136.1  3588.8 144711.4   144723
read      218.1   115.7    63.8   105.0   115.7   191.8   242.2   272.9   294.9   319.5   350.6   399.2   500.1  1174.2  2901.8 117438.0   117379
