Random waveform, supplied seed
Total number of intervals = 170 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555)
Average QPS expected = 91129
Timestamp start: 1747361859825
Timestamp end: 1747362710073

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      170.5   356.0    59.1    97.5   108.9   158.6   175.5   185.2   193.0   201.8   215.0   237.3   313.1   976.5 20465.1   8161.8     8195
read      199.8   180.0    63.8   106.0   116.5   179.5   216.6   241.2   260.4   282.7   310.1   346.7   429.4   638.3  2097.9 158500.0   158594
read      195.9    92.9    59.1   103.3   113.2   175.5   213.3   238.8   259.1   282.0   309.2   345.4   425.1   599.5  2758.4 149725.8   149766
read      169.1    61.5    63.8    99.5   111.4   164.9   183.0   193.2   200.4   210.7   224.1   247.7   319.4   843.8  2078.5  10418.8    10382
read      205.8    89.8    59.1   111.5   123.1   187.6   223.6   246.4   263.9   284.8   311.7   351.4   444.5   727.8  2575.7 170453.4   170548
read      205.4   131.6    63.8   105.5   115.9   181.7   221.0   247.3   267.1   289.9   317.7   359.7   461.9  1871.8  4427.4 150531.4   150565
read      199.4    90.2    59.1   102.4   112.2   177.1   218.0   246.2   267.2   290.9   318.9   359.6   446.5   692.1  1400.7 136953.4   137144
read      201.4    94.7    63.8   104.3   114.5   179.9   219.7   247.1   267.5   290.9   318.6   359.7   444.6   694.7  1810.1 143716.8   143496
read      200.4    92.3    59.1   104.2   114.4   179.2   218.4   245.4   265.8   289.0   316.6   357.0   439.1   694.2  2271.8 144868.6   144743
read      197.7    92.0    59.1    98.7   107.9   174.5   219.1   250.0   271.6   294.7   320.9   359.6   441.4   627.0  1313.7 116709.4   116745
read      197.4    92.7    59.1   100.2   109.8   174.3   215.9   244.9   266.7   290.8   318.9   359.3   445.5   707.7  1954.4 129462.6   129314
read      199.5    88.8    63.8   103.6   113.6   178.5   217.5   244.4   264.9   288.1   316.0   356.2   440.5   709.5  2138.4 144797.8   144723
read      198.1    98.7    59.1    98.6   107.8   174.4   218.9   249.7   271.1   294.2   320.7   360.3   443.4   680.3  2160.1 117638.8   117379
read      200.8    93.6    63.8    99.7   109.4   177.0   221.4   252.0   273.6   297.6   326.5   367.3   458.4   768.7  1710.1 120287.0   119931
read      202.6   103.1    63.8   101.8   111.6   179.0   221.6   250.3   271.5   295.5   324.6   366.5   458.4  1014.9  2728.0 131949.2   132052
read      206.2   108.4    68.9   104.6   115.1   183.1   224.4   251.6   271.6   294.9   323.4   366.9   467.5  1210.1  2838.3 143012.4   143350
read      205.5   104.0    63.8   104.9   115.4   183.0   223.8   250.6   270.6   293.9   322.6   366.1   464.3  1076.1  2716.5 143540.0   143518
read      228.7   118.5    63.8   120.2   134.4   211.5   250.7   273.5   291.0   311.7   338.6   382.1   484.2  1041.4  4834.6 173051.8   172981
read      204.6    95.5    63.8    98.0   107.1   180.6   232.6   265.1   285.9   308.5   335.0   371.7   460.5   683.5  1766.3  93983.4    94027
read      221.9   103.7    63.8   117.3   130.7   204.3   243.4   266.9   284.1   304.6   331.1   372.2   469.6  1045.9  2731.8 170166.2   170019
read      236.9    97.7    68.9   125.9   141.2   221.8   261.5   284.6   301.5   321.5   348.4   392.3   487.4   862.6  2608.5 179185.2   179090
read      210.0    92.4    59.1   100.4   110.0   205.1   248.6   268.3   281.5   296.0   315.1   343.2   407.3   539.3  1175.6  47169.8    47130
read      194.2    62.4    59.1   103.2   115.6   194.2   216.8   229.3   237.7   249.4   264.0   286.7   339.5   464.6  1905.5  19481.2    19439
read      207.6   120.0    63.8   101.4   111.3   181.6   225.7   254.7   275.5   299.7   329.2   371.8   496.1  1493.9  2550.2 128562.4   128963
read      200.7    74.0    59.1   102.1   113.4   199.8   226.8   241.0   251.5   264.2   279.9   307.5   373.1   547.0  1352.9  23788.2    23787
read      210.5    94.5    63.8    99.5   108.9   196.8   250.3   274.2   289.7   306.8   327.3   359.0   433.7   619.5  2395.6  61701.6    61848
