Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747425076197
Timestamp end: 1747425876467

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      170.8   123.5    63.8   104.1   115.6   166.2   180.1   187.1   193.6   200.2   210.8   228.1   278.6  1270.6  7442.4   5280.3     5319
read      197.2    87.2    63.8   103.9   113.5   176.9   217.0   242.2   261.2   282.6   309.0   346.6   429.6   667.1  2136.8 118035.8   118456
read      187.4   106.0    63.8   110.9   124.3   185.3   201.3   210.7   216.8   225.3   234.7   252.4   302.4   912.8  5589.8  14810.2    14807
read      200.7    83.6    68.9   111.0   122.0   184.7   218.3   239.0   255.3   274.7   300.2   338.5   420.2   691.7  1980.2 156464.5   156463
read      196.3    73.8    59.1   107.3   118.1   198.4   221.0   232.2   240.3   250.0   262.6   281.3   322.8   512.8  2971.7  28721.0    28584
read      177.3   157.0    63.8   109.8   123.0   175.9   189.5   197.4   202.3   210.4   218.4   234.1   272.8   857.3  2229.6   8050.3     8060
read      209.2    95.2    68.9   117.9   130.7   195.9   227.8   247.0   261.7   279.3   302.9   339.7   420.7   670.8  2795.7 172964.8   173248
read      198.9    79.8    63.8   106.7   116.7   201.5   227.1   239.6   248.8   259.2   272.0   292.4   336.8   451.8  3198.6  35701.0    35709
read      200.0    77.8    63.8   104.3   113.5   198.1   233.8   250.3   261.5   273.3   289.5   312.9   362.7   452.7  1483.2  53127.3    53312
read      200.8    93.9    68.9   107.7   118.1   182.3   218.6   241.3   258.7   279.3   305.7   344.1   427.3   980.1  2647.8 142045.8   142106
read      203.4    86.7    63.8   103.2   112.3   190.1   236.0   259.2   274.1   291.4   311.9   341.1   403.5   585.6  1797.8  67362.2    67298
read      179.4    63.7    68.9   110.6   124.8   178.3   193.1   201.0   207.7   215.0   224.9   239.7   279.1   858.5  2515.2   9220.5     9202
read      202.2    99.8    63.8   104.8   114.6   181.4   223.0   248.5   267.4   289.1   315.5   354.5   438.5   791.8  3180.6 112496.2   112614
read      189.6    62.9    59.1   109.7   123.1   189.8   207.9   217.3   224.7   232.6   244.1   262.5   306.0   817.3  1900.2  14684.5    14678
read      202.9    95.0    63.8   103.0   112.3   183.7   230.6   256.7   274.0   293.6   316.8   350.7   428.0   683.8  2986.0  84811.0    84900
read      204.0    99.1    68.9   103.1   112.4   185.7   233.6   259.0   275.5   294.2   316.4   347.6   421.5   740.4  2542.1  78734.8    78527
read      204.7    93.5    63.8   103.3   112.5   189.3   236.5   260.9   276.3   293.8   314.9   345.0   415.6   633.9  2797.4  71313.0    71117
read      205.3   105.2    68.9   109.8   120.6   186.5   223.1   245.7   263.0   283.6   310.2   350.0   440.5  1090.2  2854.4 143859.5   143897
read      204.3    80.8    63.8   103.7   113.1   193.6   238.5   260.6   274.6   290.8   310.4   339.1   400.5   528.2   961.4  63810.8    63774
read      202.0   118.3    63.8   103.8   113.3   180.1   223.2   249.4   268.5   290.0   315.8   353.0   432.8   930.3  5067.6 105437.7   105494
read      205.9    95.0    63.8   103.9   113.2   199.5   239.9   259.4   272.2   287.0   304.6   331.5   391.7   615.1  3144.7  53072.5    52991
read      177.1    68.3    68.9   111.0   124.9   175.5   188.8   197.0   202.1   210.1   218.3   233.7   273.7   867.2  3007.9   8122.2     8157
read      203.2    90.8    63.8   103.4   112.8   200.7   236.8   254.3   266.1   278.9   294.9   318.7   371.6   515.0  2845.2  45552.3    45523
read      204.0   104.0    63.8   109.0   119.6   184.8   221.4   244.3   261.7   282.5   309.3   348.6   439.4  1071.7  3355.3 143494.5   143551
read      201.0    72.4    63.8   105.4   115.8   202.6   229.5   243.4   253.0   264.7   278.0   299.2   346.9   524.6  1452.3  32375.2    32455
read      205.6   112.8    68.9   109.4   119.9   185.9   222.9   245.9   263.8   285.0   312.1   353.2   448.7  1234.3  3134.9 140421.7   140524
read      202.0    87.7    63.8   103.0   112.1   184.4   232.1   257.8   274.6   293.1   315.1   345.8   412.0   579.3  1480.1  79599.5    79870
read      203.5    88.9    59.1   102.9   112.1   189.9   236.8   260.1   275.1   292.1   312.5   341.6   404.7   580.5  1952.1  68537.8    68547
read      203.8    89.7    68.9   113.2   125.4   189.0   222.0   242.1   257.6   275.9   300.4   337.6   415.9   681.1  2635.5 167168.7   167378
read      203.4   116.9    59.1   102.6   111.7   189.3   234.5   255.8   269.6   285.1   304.0   334.1   417.4  1109.4  4830.0  71096.3    71048
read      206.7    95.9    59.1   106.3   118.5   207.3   232.4   246.0   255.0   266.7   280.3   302.0   350.6   827.7  4398.3  23277.8    23332
read      254.5   216.4    63.8   108.5   120.0   203.6   262.9   304.4   339.2   383.3   438.7   532.3   775.7  2926.7  7140.6 108491.5   108627
read      229.5   156.8    63.8   102.4   114.4   213.7   254.7   276.8   292.8   311.4   335.2   373.2   538.3  2229.3  4636.9  31524.0    31521
read      199.2    84.8    63.8   104.2   117.1   193.9   222.1   236.8   248.1   261.0   276.5   301.0   360.5   855.8  2329.4  15438.7    15365
read      258.1   199.3    63.8   104.2   115.2   209.0   283.5   334.1   368.3   404.6   449.3   517.4   711.0  2275.3  6040.9  93700.5    93741
read      253.0   183.2    63.8   103.1   113.9   209.8   282.1   329.0   361.4   395.6   435.8   499.5   675.6  2009.6  6024.5  88830.8    88752
read      242.4   135.7    63.8   101.2   111.1   212.6   279.8   319.3   347.0   377.4   412.9   464.0   588.4  1276.0  2475.4  75932.8    75839
read      222.4   109.2    59.1   104.1   115.1   213.9   254.8   276.5   292.2   310.5   333.7   369.4   464.6  1058.3  2792.6  47522.7    47638
read      265.4   245.6    68.9   119.5   134.3   217.3   260.2   285.9   305.5   330.3   365.7   434.9  1520.7  2588.0  4997.8 164392.7   164553
read      200.3   135.4    59.1   106.7   118.1   196.1   219.4   231.5   240.4   251.4   266.4   290.4   360.2  1563.2  5435.7  26718.2    26684
read      199.6    98.6    59.1   103.1   112.5   178.3   221.6   247.8   266.5   287.4   312.3   347.4   432.7   849.4  2580.8 102931.7   103013
read      220.5   147.1    63.8   116.1   129.4   198.9   233.6   254.8   270.9   290.5   316.3   359.6   509.3  2008.7  4547.4 168478.0   168492
read      204.5   112.1    63.8   103.4   112.9   189.3   234.3   256.4   270.7   286.9   306.8   337.5   424.9  1127.7  4181.5  71586.0    71479
read      234.5   144.6    68.9   105.5   116.1   195.2   252.5   289.3   318.3   356.7   406.3   481.1   639.1  1228.7  4043.2  97765.3    98086
read      230.9   230.2    68.9   110.0   121.2   192.2   232.0   256.1   273.9   295.5   323.4   372.4  1385.6  3228.0  5439.9 145813.8   145673
read      214.3   154.3    63.8   114.3   127.1   193.8   228.3   249.2   265.2   284.2   309.3   347.9   452.8  3052.7  4373.5 168642.8   168771
read      224.2   103.1    59.1   103.5   115.0   216.9   257.2   278.7   293.6   311.1   332.6   365.2   443.1  1054.1  2518.6  34975.2    34906
read      222.6   100.9    63.8   104.0   115.9   218.6   255.7   274.5   287.9   302.8   320.6   349.2   427.5  1038.8  2674.3  28928.0    28933
read      266.9   177.3    63.8   109.6   121.4   215.5   291.3   347.8   386.8   427.2   475.2   550.7   727.6  1897.6  4055.8  99642.3    99751
read      351.1   478.5    63.8   115.8   131.1   225.9   270.9   297.7   320.1   354.5   464.2  1375.1  2743.2  4015.8  7916.6 124747.5   124678
read      257.6   196.6    63.8   108.4   119.9   200.0   256.3   299.4   340.3   397.8   471.5   584.9   887.8  2363.8  4065.9 108841.5   108827
read      245.0   172.6    68.9   102.6   113.1   224.2   280.6   312.9   335.8   361.6   392.3   435.1   540.4  2369.7  6585.2  59465.8    59514
read      247.9   163.5    63.8   103.2   113.6   215.0   281.3   320.3   348.2   379.4   416.8   470.0   616.4  2095.2  4006.4  75445.7    75254
read      201.9    93.0    59.1   106.7   121.2   199.3   222.2   234.0   243.4   253.5   267.9   290.0   347.1  1078.7  2909.8  14366.3    14326
read      337.3   506.6    63.8   115.5   130.3   221.8   265.4   291.1   311.8   340.2   396.4  1158.8  3083.5  4387.2  8932.6 128812.5   129032
read      225.0   242.8    68.9   109.9   120.8   190.4   229.5   253.1   270.6   291.4   318.0   361.7   630.4  3428.8  5385.3 144621.7   144334
read      245.5   143.7    63.8   103.8   114.2   220.6   282.7   318.2   343.9   373.7   409.3   461.0   572.5  1520.3  3904.3  67559.2    67748
read      230.4   111.7    59.1   105.2   117.4   224.0   265.0   286.1   300.6   317.1   338.1   369.5   450.9  1093.7  3590.0  32039.2    31935
read      282.0   364.1    68.9   118.9   133.7   221.2   262.1   285.4   302.9   324.9   357.6   427.2  2475.2  3491.2  7733.9 152772.8   152964
read      217.6    93.6    63.8   105.1   117.6   213.4   246.1   263.9   275.6   290.6   309.1   337.1   406.9  1129.3  2167.8  24537.8    24510
read      330.6   457.4    63.8   117.5   132.9   230.4   275.1   301.4   321.2   349.7   400.8  1222.9  2866.5  4350.2  8026.0 142224.0   142233
