#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      258.6   190.0    86.8   137.1   150.3   229.5   268.9   292.6   311.3   334.9   368.8   443.4   673.4  3023.9  6113.6  29963.0    30000  1747247612676  1747247622809
read      251.6   209.6    86.8   134.1   146.9   222.9   261.2   283.7   300.8   322.2   354.1   416.8   641.9  3487.4  6460.5  30046.5    30005  1747247624320  1747247634438
read      261.9   231.9    86.8   133.6   147.3   230.1   270.4   294.3   313.3   337.6   372.3   451.3   696.6  4054.1  6838.8  30001.2    30010  1747247635948  1747247646046
read      266.5   236.4    80.4   134.9   148.6   231.1   271.6   295.9   315.7   341.0   377.9   464.1   775.5  3825.6  6365.8  30143.2    30015  1747247647557  1747247657653
read      314.2   271.8    86.8   147.7   165.1   265.4   314.8   347.5   376.0   418.5   483.2   588.3  1017.0  4117.1  6391.7  30077.5    30020  1747247659164  1747247669259
read      326.0   306.1    86.8   156.2   174.1   272.0   322.1   356.9   386.0   429.9   495.5   609.1  1091.4  5080.2  7070.4  30020.6    30025  1747247670771  1747247680868
read      304.4   281.2    86.8   144.8   161.2   257.4   304.1   334.9   360.3   395.9   458.5   563.8   950.0  4562.5  6746.0  29917.4    30030  1747247682378  1747247692475
read      285.4   168.0    74.4   139.7   158.2   255.1   301.6   330.6   353.3   383.8   434.3   527.4   745.5  2176.4  4887.1  30005.3    30035  1747247693985  1747247704083
read      284.8   151.3    80.4   141.5   159.9   255.3   302.5   331.6   355.0   386.5   437.1   527.9   730.2  1764.3  4134.1  30040.9    30040  1747247705596  1747247715693
read      296.0   163.5    86.8   148.2   166.1   262.1   311.7   342.4   367.7   401.6   463.6   558.9   796.9  1626.0  5001.4  30056.0    30045  1747247717203  1747247727302
read      298.7   185.1    74.4   145.2   163.2   260.2   310.6   342.9   369.9   406.2   470.8   570.9   883.5  2229.5  4997.3  30015.0    30050  1747247728812  1747247738908
read      282.9   138.0    74.4   142.6   160.8   255.2   301.9   331.0   354.0   385.2   436.6   527.4   704.4  1319.4  3136.3  30007.3    30055  1747247740418  1747247750515
read      287.4   154.6    80.4   144.4   162.7   258.1   306.1   336.0   359.9   392.7   448.3   535.8   703.0  1575.0  4744.2  30069.9    30060  1747247752025  1747247762123
read      286.4   152.0    80.4   139.8   158.7   258.6   307.1   336.6   360.0   391.1   443.3   533.1   701.8  1650.4  4447.0  30011.4    30065  1747247763635  1747247773732
