#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      271.0   210.1    80.4   137.3   150.9   234.4   283.3   312.9   334.7   361.4   398.0   466.9   747.3  3226.3  6142.2  29989.2    30000  1747251327581  1747251337713
read      277.7   212.4    86.8   140.8   155.0   240.9   291.1   320.6   342.8   370.0   406.1   476.1   762.3  3341.2  6156.4  30011.6    30005  1747251339223  1747251349339
read      277.3   234.3    86.8   138.6   152.1   236.6   287.9   318.7   341.6   370.0   408.5   484.2   776.2  3720.7  6269.6  30003.3    30010  1747251350847  1747251360945
read      272.6   255.8    86.8   136.2   148.9   229.0   276.6   306.5   327.7   354.3   392.1   467.9  1024.3  3943.9  6377.5  29933.8    30015  1747251362455  1747251372552
read      271.2   210.6    86.8   137.7   150.5   233.1   282.6   312.4   334.3   361.4   397.7   467.2   885.1  3213.4  6029.9  30027.6    30020  1747251374062  1747251384160
read      352.3   320.5    93.8   156.2   174.4   290.3   357.8   399.8   433.1   477.8   546.7   688.9  1211.2  4938.7  7381.0  30011.3    30025  1747251385670  1747251395767
read      365.9   339.5    93.8   159.9   178.9   299.4   370.0   415.1   451.0   497.8   566.6   717.9  1302.7  5051.4  7536.1  30003.9    30030  1747251397277  1747251407373
read      297.4   251.7    86.8   142.9   158.5   253.9   309.0   341.0   366.2   397.5   443.8   534.2   862.6  3912.9  6369.5  30015.9    30035  1747251408885  1747251418982
read      273.6   131.6    86.8   143.7   159.6   248.7   300.4   328.9   349.4   374.7   409.7   470.5   620.2  1467.6  3773.4  29898.7    30040  1747251420493  1747251430592
read      270.2   140.4    80.4   141.6   156.9   244.3   295.6   323.9   345.2   371.5   405.9   468.1   625.5  1254.7  4260.0  30059.9    30045  1747251432102  1747251442199
read      270.4   131.4    86.8   137.2   153.0   245.6   297.8   326.5   347.2   374.1   410.9   474.4   625.2  1301.1  3939.2  30073.3    30050  1747251443709  1747251453807
read      270.8   124.5    80.4   139.4   155.4   246.6   298.7   327.9   349.0   375.4   411.1   471.0   612.2  1054.5  3230.1  30079.0    30055  1747251455317  1747251465417
read      268.9   134.2    80.4   137.9   153.8   244.9   296.7   325.0   345.5   371.4   405.4   467.4   616.3  1073.1  3835.4  29916.3    30060  1747251466929  1747251477025
read      271.4   125.9    86.8   143.7   158.9   245.5   297.3   326.6   347.8   374.7   409.9   470.3   621.4  1335.4  3098.4  30029.1    30065  1747251478535  1747251488633
