#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      202.9   128.0    74.4   107.6   119.7   198.0   219.9   232.2   241.4   252.3   268.1   292.4   363.5  1103.0  7189.4   4970.6     5000  1746483128547  1746483133752
read      208.9    99.4    74.4   111.4   128.2   205.6   227.6   239.5   249.1   260.7   275.3   299.8   359.0  1396.3  2997.1   9963.6    10000  1746483135257  1746483140458
read      233.9    76.9    63.8   117.0   135.8   235.4   261.6   275.0   286.2   297.6   315.1   341.4   401.5   563.5  2000.8  14955.0    15000  1746483141961  1746483147136
read      240.2    97.6    63.8   115.6   132.2   242.4   271.1   286.5   296.8   310.5   327.0   354.8   418.9   791.2  2707.9  20002.6    20000  1746483148640  1746483153811
read      241.6    82.1    68.9   114.1   129.1   244.5   277.0   294.2   307.0   320.7   340.3   369.8   431.5   544.7  1268.6  24939.8    25000  1746483155315  1746483160488
read      251.3   110.0    68.9   113.1   126.8   255.2   292.4   311.7   325.0   341.3   362.4   393.7   458.1   596.9  3389.8  30047.6    30000  1746483161992  1746483167163
read      240.4   135.6    68.9   110.7   122.9   240.4   279.5   299.4   313.6   330.0   350.5   382.9   447.6   666.0  4296.2  35241.4    35000  1746483168667  1746483173838
read      247.6    98.7    63.8   111.6   124.2   248.5   292.4   314.1   329.3   346.1   369.0   401.5   469.5   592.6  2282.4  40030.6    40000  1746483175341  1746483180511
read      246.1   189.1    63.8   110.0   122.0   242.3   288.9   311.8   327.6   345.3   368.5   401.4   471.2   642.0 11183.2  45033.9    45000  1746483182016  1746483187188
read      244.5   209.3    68.9   109.6   121.4   237.5   285.9   308.9   324.4   342.8   366.6   401.3   475.4   835.6 12120.8  49855.6    50000  1746483188692  1746483193862
read      242.2   128.9    68.9   107.7   119.8   234.7   286.9   312.5   330.3   350.4   374.8   411.4   486.1   641.6  4088.7  55056.0    55000  1746483195368  1746483200538
read      239.9   136.7    68.9   106.5   118.4   229.4   284.5   311.4   329.7   350.3   375.0   413.4   490.6   614.0  1989.2  59892.8    60000  1746483202042  1746483207213
read      247.3   109.1    63.8   109.9   122.9   234.9   292.7   320.6   340.0   362.0   388.7   427.4   507.2   645.7  2083.6  65081.1    65000  1746483208717  1746483213887
read      241.6   107.1    68.9   109.0   121.1   226.4   283.8   313.0   332.9   355.6   383.5   423.8   501.4   679.5  2173.2  69957.7    70000  1746483215392  1746483220564
read      240.1   103.2    68.9   108.3   120.6   224.1   281.4   311.7   332.2   355.5   383.6   423.5   499.5   612.9  1098.1  74789.5    75000  1746483222069  1746483227239
read      246.3   109.7    68.9   110.7   124.2   230.1   286.3   316.7   338.0   362.2   391.1   432.0   511.0   693.7  1782.5  79923.7    80000  1746483228744  1746483233917
read      249.3   145.2    68.9   111.3   125.5   232.5   288.0   318.0   339.3   363.9   393.4   435.0   523.2   723.8  4550.1  84790.2    85000  1746483235422  1746483240592
read      246.9   132.9    68.9   111.1   125.1   229.7   284.4   315.1   336.8   361.6   391.9   434.6   520.5   663.7  3106.7  90096.4    90000  1746483242095  1746483247267
read      246.7   160.7    63.8   112.0   126.4   227.9   281.5   311.6   332.7   357.2   387.8   431.4   527.9   802.7 10400.1  95130.6    95000  1746483248770  1746483253939
read      251.5   230.4    68.9   114.2   129.1   231.1   285.1   315.2   336.9   362.0   393.2   437.6   544.9   825.3  5527.1 100179.6   100000  1746483255443  1746483260614
read      248.8   119.8    68.9   115.4   131.0   233.0   284.8   313.7   334.6   358.8   388.6   431.0   512.8   655.9  1326.0 104893.1   105000  1746483262117  1746483267289
read      295.7   124.3    68.9   135.0   156.5   282.1   336.3   366.7   388.8   414.6   448.7   501.8   624.9   890.4  2428.5 110117.2   110000  1746483268792  1746483273962
read      339.0   166.2    74.4   152.2   178.9   319.0   378.5   413.0   438.9   472.3   520.1   597.0   756.5  1000.6  3906.8 114930.4   115000  1746483275465  1746483280634
read      548.6   278.9    86.8   314.9   353.6   485.3   559.6   665.8   742.2   803.2   859.5   926.7  1033.5  1268.2  7350.2 116000.5   120000  1746483282137  1746483287309
read      572.5   209.2    93.8   349.4   382.5   501.7   570.7   688.0   780.8   845.2   903.1   970.0  1077.9  1252.8  4200.7 112867.2   125000  1746483288812  1746483293982
read      546.1   207.5    86.8   318.8   354.9   482.1   555.0   662.9   743.2   804.3   858.4   923.5  1022.2  1243.5  4964.0 117818.0   130000  1746483295485  1746483300656
read      533.2   232.2    74.4   317.8   349.9   460.1   543.6   684.7   746.4   791.3   836.8   890.4   988.3  1161.9  5762.2 120994.2   135000  1746483302161  1746483307333
read      573.8   229.5    80.4   347.2   381.1   500.8   575.3   701.1   786.5   847.4   902.7   966.4  1073.8  1268.5  6758.6 112848.8   140000  1746483308837  1746483314010
read      563.1   240.8    86.8   338.1   372.6   492.0   567.0   693.3   770.7   830.4   883.9   942.6  1054.8  1269.2  6224.6 114918.4   145000  1746483315513  1746483320682
read      552.1   208.0    80.4   331.4   364.7   482.5   549.9   676.8   759.8   818.7   869.4   930.3  1025.1  1243.1  4666.8 117109.0   150000  1746483322184  1746483327359
read      549.9   209.0   101.3   326.3   359.3   482.3   564.0   684.0   753.1   808.3   859.2   921.6  1016.5  1188.0  5093.1 117704.4   155000  1746483328863  1746483334036
