Time (s),instantaneous CPU Usage (%), cummulative CPU Usage (%)
1746555232221, 191.974, 1.919
1746555237228, 20.030, 1.916
1746555242234, 30.015, 1.912
1746555247240, 25.012, 1.909
1746555252246, 45.022, 1.906
1746555257252, 92.024, 1.904
1746555262258, 142.784, 1.903
1746555267265, 193.581, 1.903
1746555272271, 313.947, 1.906
1746555277277, 535.624, 1.913
1746555282284, 614.078, 1.921
1746555287290, 666.335, 1.931
1746555292298, 976.698, 1.946
1746555297304, 1087.169, 1.964
1746555302311, 963.438, 1.980
1746555307319, 995.073, 1.996
1746555312326, 1416.625, 2.020
1746555317332, 1443.902, 2.045
1746555322340, 1270.853, 2.067
1746555327346, 1358.085, 2.090
1746555332353, 1773.326, 2.121
1746555337359, 1741.489, 2.151
1746555342367, 1549.779, 2.178
1746555347375, 1576.620, 2.205
1746555352385, 2000.998, 2.239
1746555357391, 1959.224, 2.273
1746555362400, 1690.000, 2.301
1746555367409, 1710.130, 2.330
1746555372418, 2232.814, 2.368
1746555377425, 2148.676, 2.404
1746555382433, 1806.122, 2.434
1746555387441, 1799.485, 2.463
1746555392449, 2382.934, 2.502
1746555397457, 2278.481, 2.539
1746555402466, 1856.846, 2.568
1746555407475, 1854.166, 2.597
1746555412483, 2466.415, 2.636
1746555417491, 2390.481, 2.674
1746555422502, 1937.033, 2.703
1746555427511, 1952.915, 2.733
1746555432521, 2609.176, 2.773
1746555437528, 2418.122, 2.810
1746555442536, 2001.072, 2.840
1746555447545, 2037.433, 2.871
1746555452552, 2563.824, 2.910
1746555457559, 2450.980, 2.947
1746555462569, 2072.649, 2.978
1746555467579, 2056.928, 3.008
1746555472588, 2691.466, 3.049
1746555477594, 2418.478, 3.085
1746555482604, 1995.719, 3.114
1746555487613, 2010.752, 3.144
1746555492623, 2697.802, 3.184
1746555497631, 2445.887, 3.220
1746555502640, 1994.652, 3.249
1746555507650, 1976.369, 3.277
1746555512659, 2602.739, 3.315
1746555517665, 2557.251, 3.352
1746555522675, 2088.030, 3.382
1746555527684, 2103.854, 3.412
1746555532694, 2569.558, 3.450
1746555537700, 2635.359, 3.487
1746555542710, 2081.764, 3.516
1746555547718, 1511.627, 3.536
1746555552724, 50.000, 3.531
1746555557730, 25.012, 3.525
1746555562735, 30.000, 3.519
1746555567741, 24.987, 3.513
1746555572747, 40.000, 3.508
1746555577753, 30.000, 3.502
