time,          CPUtotal, CPU0, CPU1, CPU2
1746719481106, 13.100, 22.112, 21.564, 3.800
1746719482124, .985, .980, .980, 0
1746719483142, .982, .980, 1.960, 0
1746719484161, .985, .980, .990, .980
1746719485180, 1.225, .990, 0, 1.941
1746719486199, 1.231, 1.960, 1.960, .990
1746719487218, .738, 1.941, .980, .990
1746719488236, .985, 0, .990, .980
1746719489256, .738, .980, .980, .980
1746719490275, 1.960, 0, 1.000, 1.960
1746719491293, .738, .980, 1.941, 0
1746719492311, .493, 1.941, .990, .970
1746719493329, 1.228, .980, 1.941, 0
1746719494348, .987, .990, .990, 0
1746719495367, 1.225, .990, 1.960, .970
1746719496385, .982, 1.941, 0, 0
1746719497403, .738, 0, .980, .980
1746719498421, 1.228, 0, 2.912, 1.941
1746719499440, .738, 1.941, 0, .990
1746719500459, 1.231, .990, .990, .990
1746719501477, 1.522, 2.150, 1.960, 1.000
1746719502497, 1.025, 1.111, 1.000, 1.010
1746719503517, 1.794, 2.197, 1.010, 1.010
1746719504538, 1.282, 2.197, 1.000, 0
1746719505557, 1.282, 2.197, 1.000, 2.000
1746719506577, 1.474, .990, .990, .980
1746719507597, .750, 1.030, .990, 1.960
1746719508620, 1.574, 3.488, 0, 0
1746719509641, 1.827, 2.325, 1.980, 2.040
1746719510662, 1.308, 1.176, 0, 1.010
1746719511684, 1.562, 3.448, 1.000, 1.020
1746719512705, 1.534, 3.260, 1.010, 1.010
1746719513723, .985, .990, .980, 0
1746719514743, 1.550, 2.272, 2.000, 2.000
1746719515764, 1.336, 3.658, 1.020, 0
1746719516785, 1.861, 2.469, 1.020, 2.040
1746719517806, 2.122, 6.024, 2.020, 1.030
1746719518827, 1.866, 1.265, 1.020, 1.020
1746719519848, 1.503, 3.061, 1.000, 1.980
1746719520867, 1.237, 1.010, 0, 1.960
1746719521890, 2.162, 6.329, 1.020, 1.041
1746719522914, 2.168, 6.410, 2.061, 1.030
1746719523936, 2.425, 3.896, 1.030, 1.041
1746719524958, 2.144, 5.063, 2.040, 2.040
1746719525981, 1.856, 4.819, 0, 2.040
1746719527000, .982, .990, 0, 0
1746719528019, 2.590, 5.617, 2.970, 2.040
1746719529042, 2.762, 9.210, 2.061, 2.083
1746719530064, 3.296, 8.000, 1.041, 1.063
1746719531088, 1.928, 5.405, 3.030, 1.041
1746719532112, 3.825, 10.526, 1.041, 2.105
1746719533135, 2.040, 3.260, 1.010, 1.010
1746719534153, 1.228, .980, 1.941, 1.960
1746719535172, 5.219, 16.883, 2.083, 1.052
1746719536196, 4.407, 16.883, 1.041, 2.061
1746719537222, 4.132, 14.666, 3.061, 2.061
1746719538247, 4.407, 12.500, 0, 1.052
1746719539271, 4.087, 12.987, 3.061, 1.030
1746719540290, 1.474, .990, .990, 0
1746719541308, 3.092, 9.782, 3.000, 2.970
1746719542333, 8.791, 26.250, 4.255, 4.166
1746719543357, 6.111, 21.333, 1.086, 1.041
1746719544381, 6.648, 23.684, 3.191, 2.083
1746719545406, 6.060, 18.918, 3.157, 1.041
1746719546430, 5.943, 12.222, 3.061, 3.960
1746719547450, 1.225, 1.960, .990, 0
1746719548469, 8.870, 32.183, 2.040, 2.105
1746719549495, 9.536, 35.802, 3.061, 2.127
1746719550520, 26.329, 38.554, 10.891, 5.376
1746719551544, 9.485, 34.146, 2.061, 3.125
1746719552568, 8.767, 32.051, 3.030, 3.157
1746719553593, 1.474, 1.980, .990, .990
1746719554612, 3.807, 11.340, 1.980, 1.000
1746719555640, 10.928, 37.804, 2.105, 1.086
1746719556666, 11.780, 42.857, 4.081, 3.157
1746719557693, 11.232, 39.506, 3.125, 2.127
1746719558720, 10.220, 37.500, 2.105, 3.157
1746719559745, 7.812, 23.076, 3.030, 2.083
1746719560764, .985, 1.941, .990, .980
1746719561783, 11.811, 40.000, 2.105, 2.061
1746719562809, 14.745, 51.685, 4.210, 2.105
1746719563834, 14.477, 51.648, 4.210, 3.125
1746719564860, 14.705, 51.685, 4.210, 1.063
1746719565884, 14.516, 50.000, 5.208, 3.125
1746719566909, 3.439, 7.843, .990, 1.960
1746719567929, 3.759, 11.111, 1.010, 1.000
1746719568957, 17.647, 58.947, 5.376, 3.125
1746719569983, 18.302, 60.824, 4.255, 2.105
1746719571009, 17.819, 59.793, 5.319, 3.125
1746719572036, 17.066, 57.142, 4.301, 3.125
1746719573063, 11.979, 37.894, 3.125, 3.061
1746719574082, 1.474, 2.912, .990, .990
1746719575101, 13.989, 48.543, 2.105, 1.086
1746719576128, 21.932, 70.297, 4.301, 3.296
1746719577156, 20.997, 69.902, 5.319, 5.434
1746719578184, 21.522, 71.568, 4.301, 3.296
1746719579211, 22.193, 71.568, 4.255, 5.434
1746719580238, 5.459, 15.686, 2.000, 0
1746719581258, 3.950, 12.500, 1.980, 1.960
1746719582288, 24.935, 77.570, 6.185, 3.296
1746719583315, 23.237, 75.238, 5.208, 3.225
1746719584342, 24.607, 79.245, 5.208, 2.197
1746719585371, 23.575, 74.757, 5.208, 3.225
1746719586398, 17.312, 56.310, 5.154, 0
1746719587416, .982, .980, .980, 0
1746719588437, 15.206, 50.000, 3.191, 4.210
1746719589465, 25.857, 82.242, 5.376, 4.545
1746719590493, 28.835, 89.423, 5.494, 4.651
1746719591520, 25.661, 82.692, 3.333, 4.494
1746719592548, 26.719, 81.904, 6.451, 6.666
1746719593576, 8.457, 26.213, 3.030, 3.061
1746719594595, 2.469, 4.901, 0, 1.941
1746719595623, 28.759, 92.452, 6.315, 4.494
1746719596651, 27.937, 86.486, 6.250, 1.149
1746719597680, 28.759, 93.457, 5.263, 3.333
1746719598708, 29.736, 94.230, 5.263, 3.370
1746719599734, 22.997, 71.296, 2.150, 3.296
1746719600752, .740, 1.960, 1.941, .980
1746719601772, 14.545, 48.076, 3.191, 0
1746719602801, 31.182, 97.115, 7.777, 4.444
1746719603829, 29.177, 88.181, 4.545, 4.444
1746719604859, 29.708, 89.090, 5.617, 4.395
1746719605888, 28.989, 88.785, 5.681, 4.444
1746719606917, 11.000, 32.380, 3.061, 2.040
1746719607936, 1.228, .990, 0, 1.980
1746719608956, 30.376, 94.285, 7.777, 4.301
1746719609985, 30.687, 93.518, 6.818, 2.222
1746719611013, 31.016, 97.142, 7.692, 2.197
1746719612041, 30.851, 95.283, 7.777, 5.319
1746719613069, 27.034, 83.962, 5.494, 1.111
1746719614087, .740, 0, .980, 1.960
1746719615107, 13.299, 45.192, 4.081, 1.020
1746719616141, 31.536, 100.000, 5.681, 4.255
1746719617170, 30.831, 97.169, 6.666, 3.225
1746719618199, 31.746, 99.038, 7.777, 2.150
1746719619227, 31.720, 100.000, 6.741, 4.255
1746719620257, 13.636, 42.156, 4.081, 4.000
1746719621275, .982, .980, 0, 0
1746719622294, 28.882, 93.137, 4.597, 4.395
1746719623325, 31.367, 100.000, 6.666, 2.197
1746719624355, 32.171, 100.000, 7.777, 4.347
1746719625382, 31.536, 100.000, 7.777, 3.260
1746719626409, 30.294, 95.145, 4.494, 3.333
1746719627429, .980, .980, .990, 1.941
1746719628448, 11.704, 38.235, 3.061, 2.040
1746719629476, 30.183, 100.000, 4.347, 2.197
1746719630502, 30.687, 100.000, 7.368, 4.347
1746719631529, 30.343, 100.000, 4.395, 3.260
1746719632558, 30.769, 100.000, 6.451, 4.301
1746719633585, 15.443, 50.485, 3.061, 2.105
1746719634603, .738, .990, .990, 0
1746719635622, 26.358, 84.466, 4.444, 5.555
1746719636653, 31.880, 100.000, 6.666, 3.448
1746719637682, 31.182, 100.000, 4.444, 5.555
1746719638711, 32.162, 100.000, 6.593, 2.298
1746719639741, 31.283, 100.000, 5.494, 6.666
1746719640769, 2.450, 3.883, 0, .990
1746719641788, 9.620, 32.673, 3.030, 2.040
1746719642816, 31.182, 100.000, 5.434, 4.545
1746719643845, 31.382, 100.000, 3.333, 5.617
1746719644871, 31.117, 100.000, 7.368, 3.409
1746719645898, 31.016, 100.000, 5.434, 2.298
1746719646926, 17.857, 55.882, 5.102, 5.208
1746719647944, .985, 1.941, .980, .990
1746719648964, 24.000, 77.450, 4.166, 4.494
1746719649993, 31.903, 100.000, 5.263, 8.045
1746719651024, 31.989, 100.000, 5.319, 6.896
1746719652052, 31.550, 100.000, 6.250, 6.896
1746719653080, 32.526, 100.000, 5.319, 6.976
1746719654108, 4.433, 11.650, 2.912, 2.000
1746719655126, 7.304, 24.509, 1.020, 2.000
1746719656155, 31.099, 100.000, 4.545, 2.197
1746719657183, 30.666, 100.000, 6.593, 5.376
1746719658211, 31.481, 100.000, 6.593, 4.301
1746719659239, 31.466, 100.000, 6.666, 2.222
1746719660268, 20.308, 63.725, 4.210, 4.166
1746719661286, .738, .980, .990, 1.960
1746719662305, 21.866, 71.153, 3.296, 3.260
1746719663338, 31.891, 100.000, 5.681, 4.494
1746719664368, 31.880, 100.000, 4.597, 5.617
1746719665398, 31.420, 100.000, 4.597, 4.494
1746719666428, 32.162, 100.000, 5.681, 4.494
1746719667458, 6.172, 15.841, 2.970, 2.970
1746719668477, 5.513, 18.446, 2.970, 2.000
1746719669505, 31.367, 100.000, 4.395, 4.494
1746719670534, 31.466, 100.000, 6.451, 5.555
1746719671561, 31.200, 100.000, 6.382, 2.272
1746719672590, 31.367, 100.000, 6.451, 4.494
1746719673619, 21.818, 70.297, 3.157, 3.225
1746719674638, .982, .980, .980, .990
1746719675658, 19.839, 65.048, 3.296, 3.296
1746719676689, 33.152, 100.000, 7.865, 5.681
1746719677720, 32.513, 100.000, 6.818, 5.681
1746719678751, 33.060, 100.000, 6.818, 5.747
1746719679782, 32.425, 100.000, 8.791, 3.488
1746719680813, 8.436, 21.568, 3.030, 2.040
1746719681832, 4.228, 13.592, 1.000, 1.000
1746719682862, 32.608, 100.000, 6.818, 6.666
1746719683891, 32.432, 100.000, 7.865, 5.555
1746719684922, 32.065, 100.000, 8.791, 3.448
1746719685951, 31.793, 100.000, 4.651, 3.409
1746719686982, 23.482, 74.509, 3.296, 3.296
1746719688001, .738, .980, .980, 0
1746719689020, 18.393, 60.396, 5.376, 3.092
1746719690049, 31.481, 100.000, 6.818, 4.255
1746719691077, 30.851, 100.000, 7.865, 3.225
1746719692106, 30.053, 100.000, 6.741, 3.191
1746719693138, 30.971, 100.000, 7.777, 3.191
1746719694167, 8.750, 27.450, 2.040, 1.010
1746719695188, 2.722, 7.843, 1.000, 1.960
1746719696218, 33.242, 100.000, 6.818, 9.195
1746719697248, 32.249, 100.000, 6.666, 4.705
1746719698279, 34.139, 100.000, 11.956, 5.952
1746719699308, 32.614, 100.000, 7.692, 9.090
1746719700336, 26.595, 80.582, 5.555, 4.545
1746719701355, .738, .990, 0, 1.941
1746719702374, 16.839, 53.921, 4.040, 3.225
1746719703403, 32.095, 100.000, 6.185, 6.818
1746719704432, 32.000, 100.000, 6.250, 4.705
1746719705460, 31.382, 100.000, 5.208, 4.597
1746719706488, 31.733, 100.000, 4.255, 7.865
1746719707516, 11.055, 34.313, 2.970, 1.052
1746719708535, .985, .990, 1.960, .980
1746719709561, 31.521, 99.038, 5.681, 5.555
1746719710592, 32.432, 100.000, 6.741, 6.593
1746719711622, 31.266, 100.000, 5.617, 2.247
1746719712651, 32.800, 100.000, 10.752, 4.444
1746719713679, 27.272, 88.118, 4.395, 2.247
1746719714697, 1.225, 0, 1.960, 1.941
1746719715717, 14.138, 47.115, 5.154, 2.083
1746719716750, 31.283, 100.000, 6.818, 3.296
1746719717780, 31.367, 100.000, 8.888, 1.136
1746719718809, 31.034, 100.000, 8.791, 3.296
1746719719838, 31.266, 100.000, 6.818, 4.395
1746719720866, 13.636, 41.346, 4.166, 2.061
1746719721885, .982, .990, 0, .990
1746719722905, 28.032, 94.117, 5.376, 3.370
1746719723933, 31.117, 100.000, 7.446, 3.370
1746719724962, 31.299, 100.000, 6.382, 5.555
1746719725990, 33.421, 100.000, 9.677, 5.555
1746719727018, 28.989, 94.117, 4.301, 5.434
1746719728038, 1.466, 1.960, .990, 0
1746719729057, 12.564, 40.776, 3.092, 2.061
1746719730088, 31.989, 100.000, 5.494, 5.434
1746719731120, 32.345, 100.000, 8.510, 3.333
1746719732151, 31.903, 100.000, 5.555, 2.247
1746719733180, 31.707, 100.000, 6.593, 3.333
1746719734209, 14.758, 47.058, 4.081, 3.092
1746719735227, 1.228, 0, .980, .990
1746719736247, 26.400, 88.349, 5.208, 2.222
1746719737275, 30.687, 100.000, 6.185, 3.333
1746719738302, 30.606, 100.000, 5.208, 4.395
1746719739328, 31.216, 100.000, 5.208, 5.376
1746719740356, 31.481, 100.000, 6.250, 5.494
1746719741377, .985, .980, 0, .980
1746719742396, 10.101, 33.333, 3.000, 2.040
1746719743424, 30.769, 100.000, 3.191, 6.521
1746719744452, 30.971, 100.000, 6.185, 2.247
1746719745478, 30.666, 100.000, 5.263, 3.296
1746719746506, 30.423, 100.000, 5.208, 4.395
1746719747533, 16.879, 54.455, 3.061, 1.063
1746719748551, .985, 0, 0, 1.960
1746719749570, 24.598, 79.611, 5.494, 4.395
1746719750598, 31.466, 100.000, 7.692, 5.555
1746719751627, 31.081, 100.000, 5.617, 3.448
1746719752655, 31.805, 100.000, 7.865, 4.494
1746719753686, 32.352, 100.000, 6.741, 7.692
1746719754716, 3.439, 7.843, 0, 1.000
1746719755735, 8.291, 27.450, 4.000, 1.980
1746719756764, 31.216, 100.000, 6.666, 4.301
1746719757792, 30.526, 100.000, 6.593, 3.191
1746719758820, 30.238, 100.000, 5.617, 2.150
1746719759849, 29.866, 100.000, 4.545, 2.173
1746719760877, 19.023, 61.165, 4.255, 3.125
1746719761896, 1.225, .980, .980, 1.941
1746719762915, 21.899, 73.529, 3.260, 4.444
1746719763941, 30.645, 100.000, 4.494, 4.705
1746719764970, 31.117, 100.000, 4.494, 6.818
1746719765996, 31.578, 100.000, 6.521, 6.818
1746719767023, 31.382, 100.000, 7.608, 4.651
1746719768049, 5.432, 15.686, 1.980, 2.970
1746719769068, 6.500, 18.811, 3.000, 1.000
1746719770097, 31.466, 100.000, 6.666, 4.395
1746719771123, 30.319, 100.000, 5.494, 3.260
1746719772151, 30.423, 100.000, 5.434, 2.173
1746719773179, 31.830, 100.000, 8.695, 4.347
1746719774206, 21.391, 69.230, 3.191, 3.157
1746719775224, 1.225, 0, .980, .990
1746719776243, 19.371, 65.686, 3.157, 2.105
1746719777272, 31.034, 100.000, 6.382, 4.301
1746719778300, 30.933, 100.000, 5.434, 3.260
1746719779329, 30.952, 100.000, 6.382, 3.260
1746719780358, 31.830, 100.000, 7.446, 3.260
1746719781385, 7.673, 22.549, 2.970, 2.000
1746719782404, 3.970, 12.745, 1.980, 0
1746719783434, 30.687, 100.000, 6.382, 2.247
1746719784462, 30.585, 100.000, 5.376, 3.333
1746719785489, 30.423, 100.000, 6.315, 3.296
1746719786521, 30.708, 100.000, 3.296, 6.382
1746719787548, 23.116, 75.728, 2.127, 3.225
1746719788568, 1.715, 1.960, 1.960, 1.960
1746719789587, 17.187, 59.223, 1.063, 3.296
1746719790618, 31.914, 100.000, 7.446, 7.058
1746719791647, 30.933, 100.000, 4.347, 5.882
1746719792675, 30.481, 100.000, 4.347, 5.882
1746719793701, 30.585, 100.000, 4.301, 5.882
1746719794729, 10.199, 30.097, 3.000, 3.092
1746719795748, .737, .990, 0, 1.941
1746719796766, 1.228, .980, 1.941, .980
1746719797785, .737, .990, 0, 0
1746719798803, .985, 1.960, 0, .990
1746719799822, .738, 0, .970, 1.941
1746719800840, .985, 1.960, 0, .990
1746719801859, .982, .980, 0, .990
1746719802877, .982, .990, 1.941, .980
1746719803895, .985, 0, .990, 1.960
1746719804913, .738, .980, 1.941, 0
1746719805930, .985, 0, .990, .990
1746719806949, 1.225, 1.941, .990, .980
1746719807967, .982, 0, .980, .980
1746719808985, .740, 1.941, .990, 0
1746719810004, 1.228, 0, .980, .980
1746719811022, 1.228, .980, 1.960, .990
1746719812040, .740, .980, .990, .990
1746719813058, .738, 0, 1.941, .980
1746719814076, .982, .980, 0, .980
1746719815094, 1.225, 0, .990, .980
1746719816113, .985, 0, 1.960, .990
1746719817131, .738, 1.941, 0, .980
1746719818149, .738, 0, 1.960, .990
1746719819167, .985, 0, .980, .980
1746719820185, 1.228, 0, 1.960, .990
1746719821203, .982, 1.960, .980, .980
1746719822221, .738, 0, .990, .970
1746719823240, .982, .980, .980, 0
1746719824258, 1.474, .990, 1.960, .990
1746719825275, .982, 0, .990, 1.960
1746719826293, .738, 0, .980, .980
1746719827311, .985, .980, 1.960, .990
1746719828329, .738, 1.941, .980, 0
