Time (s), CPU TOTAL, CPU 0, CPU 1, CPU 2, CPU 3 
1747316464333, 9.486, 24.273, 7.181, 2.508, 2.801
1747316469350, .449, .200, .399, .400, .399
1747316474367, .648, .598, .598, .400, .400
1747316479384, .399, .598, .399, .597, .399
1747316484401, .548, .796, .400, .399, .597
1747316489418, .499, .598, .795, .200, .597
1747316494436, .752, 1.600, .804, .598, .601
1747316499454, 1.675, 2.254, 2.663, 1.004, .406
1747316504471, 4.162, 7.509, 7.509, .406, .816
1747316509489, 5.289, 8.914, 9.788, 1.209, 1.020
1747316514508, 6.492, 11.742, 10.727, 1.016, 1.629
1747316519527, 9.059, 16.849, 14.500, 2.244, 1.642
1747316524544, 11.234, 20.145, 18.148, 2.674, 1.848
1747316529563, 9.148, 16.542, 15.442, 2.036, 1.035
1747316534584, 10.126, 18.047, 17.132, 2.235, 2.057
1747316539604, 12.099, 21.350, 20.260, 2.254, 1.666
1747316544621, 12.531, 20.114, 22.053, 3.765, 2.597
1747316549642, 9.789, 17.692, 16.764, 1.652, 1.687
1747316554664, 9.863, 18.217, 16.929, 2.057, 1.486
1747316559686, 12.664, 22.709, 20.158, 3.711, 2.192
1747316564704, 14.044, 25.097, 24.603, 2.474, 2.227
1747316569726, 11.650, 20.662, 20.318, 2.066, 2.183
1747316574749, 12.837, 21.789, 22.352, 3.298, 2.417
1747316579772, 14.167, 24.404, 25.099, 2.736, 2.027
1747316584790, 16.719, 29.735, 29.006, 3.578, 2.093
1747316589815, 13.461, 23.762, 23.673, 3.099, 2.017
1747316594840, 14.278, 24.649, 25.000, 4.384, 2.212
1747316599863, 16.391, 28.690, 28.571, 4.625, 1.746
1747316604882, 21.537, 37.815, 38.636, 4.000, 2.352
1747316609908, 17.334, 29.387, 32.480, 3.571, 1.408
1747316614937, 19.050, 30.677, 34.615, 3.781, 2.877
1747316619967, 22.736, 34.730, 41.697, 3.837, 3.108
1747316624986, 29.774, 49.409, 50.283, 5.986, 3.937
1747316630015, 20.188, 36.472, 35.341, 3.973, 1.956
1747316635047, 21.327, 38.690, 36.345, 4.793, 1.995
1747316640076, 25.557, 45.315, 43.243, 4.166, 2.331
1747316645094, 35.893, 55.984, 64.579, 5.829, 3.778
1747316650124, 26.066, 43.238, 45.094, 5.263, 2.676
1747316655157, 26.337, 44.716, 45.229, 4.708, 2.594
1747316660189, 28.645, 49.629, 47.992, 5.275, 2.283
1747316665207, 42.681, 69.175, 72.953, 6.323, 2.977
1747316670242, 31.597, 52.767, 53.249, 5.172, 3.500
1747316675278, 31.689, 52.670, 53.164, 4.635, 3.787
1747316680313, 33.076, 53.551, 55.197, 4.943, 4.102
1747316685332, 50.000, 77.894, 77.989, 8.747, 6.626
1747316690370, 33.996, 58.791, 54.804, 4.329, 3.865
1747316695404, 34.849, 58.866, 56.451, 6.401, 4.987
1747316700440, 35.369, 59.124, 57.581, 6.787, 3.712
1747316705477, 54.206, 84.929, 86.476, 7.816, 8.011
1747316710497, 36.990, 60.989, 60.766, 5.529, 5.655
1747316715537, 36.790, 60.036, 61.070, 7.256, 4.914
1747316720573, 36.420, 60.258, 62.049, 7.013, 5.188
1747316725605, 53.947, 86.775, 88.278, 8.027, 7.417
1747316730623, 40.278, 63.703, 63.119, 8.027, 9.169
1747316735664, 38.542, 61.824, 61.753, 7.223, 9.259
1747316740700, 38.736, 62.406, 62.900, 7.158, 9.743
1747316745735, 56.216, 85.583, 90.613, 13.785, 12.328
1747316750754, 42.659, 71.400, 67.169, 8.351, 12.787
1747316755791, 40.361, 63.846, 63.601, 10.089, 12.436
1747316760833, 41.322, 62.452, 65.116, 13.082, 13.994
1747316765869, 55.803, 91.468, 90.748, 7.812, 17.204
1747316770887, 46.019, 73.320, 72.871, 16.407, 13.443
1747316775922, 41.719, 65.936, 66.071, 14.468, 13.202
1747316780963, 41.968, 65.868, 66.600, 9.565, 19.230
1747316786002, 55.181, 89.021, 89.662, 4.496, 23.753
1747316791019, .599, .400, .400, .600, .597
1747316796036, .548, .399, .200, .996, .400
1747316801053, .499, .796, .600, .400, .597
1747316806070, .548, .200, .994, .795, .400
1747316811087, .498, .200, .400, .399, .597
1747316816104, .598, .795, .597, .399, .796
1747316821121, .499, .598, .598, .598, .400
1747316826138, .499, .399, .598, .597, .399
1747316831155, .747, .996, .798, .399, .598
1747316836173, .499, .597, .400, .400, .399
1747316841189, .399, .598, .597, .597, .399
1747316846206, .648, .598, .996, .400, .199
1747316851223, .449, .597, .798, .399, .200
1747316856240, .548, .598, .400, .598, .399
