#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      204.3    65.2    86.8   142.0   152.8   196.2   215.8   227.5   235.2   246.7   260.9   285.2   352.9   904.9  2180.8   4930.8     5000  1746719500411  1746719505672
read      221.0    68.1    86.8   137.9   154.2   216.0   239.5   252.9   263.2   274.2   290.8   315.7   386.1   781.7  1617.0   9997.0    10000  1746719507176  1746719512417
read      231.1    89.5    68.9   126.3   146.4   228.3   255.7   270.7   281.8   294.4   312.3   339.6   398.0   664.9  4115.1  14931.6    15000  1746719513921  1746719519129
read      240.4   197.3    74.4   121.3   138.7   235.5   267.5   284.3   295.9   310.6   328.6   358.2   426.5   764.6 10566.9  19876.6    20000  1746719520634  1746719525830
read      240.2    87.6    74.4   117.3   132.6   239.1   274.7   293.3   306.6   321.0   341.4   371.3   436.2   619.6  1730.6  24965.8    25000  1746719527335  1746719532534
read      255.1   285.3    74.4   116.2   130.7   249.4   290.6   311.9   326.6   343.4   365.7   398.5   471.5   915.8 17056.9  29912.0    30000  1746719534038  1746719539238
read      250.9   115.2    74.4   112.9   126.6   245.1   291.3   314.8   331.3   349.7   373.6   410.7   490.0   948.9  2982.8  35167.6    35000  1746719540742  1746719545943
read      258.7   107.1    74.4   114.0   128.1   253.6   303.1   328.9   346.2   367.6   393.9   432.5   518.3   807.0  1488.8  39956.4    40000  1746719547448  1746719552650
read      253.2   117.8    74.4   112.2   124.7   244.5   296.5   324.2   343.3   365.5   392.0   429.9   507.8   679.5  2980.4  44889.6    45000  1746719554155  1746719559357
read      260.3   118.8    74.4   111.7   124.3   252.1   306.5   335.2   355.6   378.9   406.9   448.9   540.0   835.2  1886.2  49978.0    50000  1746719560862  1746719566061
read      261.1   125.8    68.9   112.0   124.5   247.6   305.7   336.7   358.6   383.6   414.2   459.8   561.8   995.3  2954.6  54812.6    55000  1746719567566  1746719572766
read      269.7   129.8    68.9   113.5   126.9   252.7   313.4   346.5   371.2   399.5   433.5   486.3   628.7   960.2  2441.4  59926.4    60000  1746719574271  1746719579471
read      279.3   144.6    74.4   115.7   129.9   257.1   320.8   358.3   384.9   415.2   452.8   511.0   701.1  1239.2  2152.9  64877.4    65000  1746719580975  1746719586175
read      356.5   324.1    74.4   119.9   135.6   273.5   354.1   403.9   443.9   500.1   606.1   923.2  1712.5  2902.7  7477.0  69728.4    70000  1746719587681  1746719592878
read      428.6   470.0    74.4   122.2   140.2   298.4   385.4   438.1   482.7   556.3   756.2  1520.3  2176.3  3728.8  7999.0  74992.5    75000  1746719594383  1746719599584
read      373.7   396.0    68.9   117.8   133.5   271.7   356.9   407.2   446.1   498.9   593.2  1187.9  1952.6  3615.3  7859.4  80171.0    80000  1746719601088  1746719606288
read      389.3   368.7    74.4   123.4   140.7   283.3   379.3   441.4   489.6   556.9   683.8  1156.7  1836.9  2984.4  7730.3  85094.8    85000  1746719607793  1746719612993
read      512.3   539.6    74.4   137.4   160.5   322.3   455.6   567.2   681.6   865.3  1188.8  1546.3  2696.7  5326.7  8033.4  89159.4    90000  1746719614497  1746719619697
read      714.4   690.6    80.4   191.3   218.1   394.9   555.6  1233.9  1421.6  1541.8  1667.7  1854.2  2907.1  7202.1  8115.0  89745.0    95000  1746719621202  1746719626402
read      788.4   775.9    93.8   212.6   239.5   432.3   627.7  1341.3  1496.6  1618.7  1753.1  2009.8  3512.6  7595.5  8941.4  83536.8   100000  1746719627907  1746719633108
read      750.0   756.2    86.8   200.5   225.1   409.1   563.7  1288.7  1449.6  1575.0  1709.8  1957.3  3418.7  7561.4  8130.7  87718.4   105000  1746719634612  1746719639811
read      789.5   783.6    86.8   205.0   233.6   422.9   644.9  1342.8  1497.6  1608.5  1751.9  2008.1  3540.6  7649.2  9060.8  83685.4   110000  1746719641316  1746719646516
read      766.5   775.8    86.8   201.0   226.1   414.3   590.4  1304.4  1464.1  1589.2  1732.0  1991.6  3526.0  7628.2  8350.9  86146.8   115000  1746719648021  1746719653226
read      724.9   740.9    80.4   191.8   219.8   384.6   543.0  1211.0  1424.3  1549.9  1686.6  1891.3  3429.7  7430.4  8289.9  90759.3   120000  1746719654730  1746719659931
read      729.6   741.3    86.8   192.2   219.2   395.4   544.2  1203.9  1418.2  1548.3  1683.6  1899.3  3445.6  7417.3  9337.0  90239.7   125000  1746719661435  1746719666635
read      774.4   757.7    74.4   212.6   238.2   426.2   611.0  1325.1  1482.9  1602.4  1734.9  1972.0  3479.1  7473.4  8136.6  85070.8   130000  1746719668140  1746719673346
read      715.6   738.7    86.8   186.6   211.3   381.9   528.5  1177.6  1406.2  1535.7  1669.8  1878.9  3424.4  7527.0  8680.2  92057.6   135000  1746719674851  1746719680052
read      730.0   741.3    74.4   197.2   221.2   399.9   541.3  1235.7  1423.9  1552.0  1680.8  1879.3  3455.1  7423.7  8129.0  90239.0   140000  1746719681556  1746719686757
read      777.5   748.4    93.8   210.7   237.1   424.8   640.8  1351.8  1490.4  1603.8  1729.4  1943.9  3409.4  7498.5  8569.7  84807.7   145000  1746719688260  1746719693467
read      731.3   721.9    86.8   189.2   217.4   389.6   578.3  1286.6  1438.3  1554.0  1683.8  1873.1  3342.5  7360.5  8126.3  89951.6   150000  1746719694972  1746719700173
read      765.7   769.3    86.8   204.2   228.7   414.6   591.9  1310.5  1469.8  1586.2  1726.6  1961.0  3509.4  7553.8  9725.1  86240.4   155000  1746719701678  1746719706883
read      764.7   756.2    80.4   201.4   229.5   408.8   620.4  1328.2  1477.1  1590.6  1724.4  1943.6  3413.7  7572.0 10074.4  86344.8   160000  1746719708387  1746719713587
read      770.1   739.9    86.8   204.6   231.2   421.6   638.8  1343.7  1482.4  1594.5  1720.4  1921.4  3409.0  7397.8  8137.7  85555.7   165000  1746719715091  1746719720294
read      789.7   761.7    86.8   215.7   240.9   436.3   645.8  1367.9  1502.3  1617.9  1750.5  1975.8  3452.1  7545.9  8949.0  83619.2   170000  1746719721797  1746719726997
read      747.2   756.6    86.8   199.8   224.9   406.4   569.8  1283.6  1447.4  1573.6  1705.4  1922.5  3431.6  7528.6 10191.3  88172.8   175000  1746719728501  1746719733699
read      791.5   775.7    86.8   209.1   236.5   433.6   638.3  1355.4  1504.1  1618.8  1748.9  1998.2  3484.5  7642.5  8751.5  83428.4   180000  1746719735202  1746719740402
read      793.6   784.2    86.8   212.7   240.1   435.0   638.3  1350.7  1499.2  1614.8  1747.3  1997.9  3564.7  7656.7  9693.0  83291.9   185000  1746719741907  1746719747109
read      781.3   776.7    86.8   208.3   234.0   423.7   622.0  1338.7  1491.4  1609.2  1743.2  1996.6  3479.8  7631.8  9008.1  84565.8   190000  1746719748613  1746719753812
read      777.0   777.5    93.8   214.4   239.4   424.1   601.0  1323.8  1481.8  1603.0  1733.3  1974.5  3560.3  7609.6  9400.3  85011.2   195000  1746719755316  1746719760514
read      783.7   776.1    86.8   219.3   241.9   435.4   607.3  1334.3  1491.1  1613.2  1746.4  1989.9  3558.1  7462.8  8125.1  84196.0   200000  1746719762018  1746719767218
read      809.1   799.1    80.4   211.2   241.0   432.4   668.7  1370.4  1513.9  1643.0  1790.0  2070.3  3571.1  7697.5  9421.7  81721.3   205000  1746719768722  1746719773924
read      790.5   784.4    86.8   214.4   240.2   431.2   636.5  1338.9  1490.5  1608.7  1742.6  2000.1  3591.7  7595.9  9812.0  83614.2   210000  1746719775428  1746719780633
read      812.3   791.2    74.4   219.7   245.5   448.3   669.8  1387.0  1523.8  1643.6  1779.6  2024.0  3552.4  7662.4  9260.2  81254.8   215000  1746719782137  1746719787340
read      826.1   800.3    93.8   225.5   251.2   458.1   701.8  1403.5  1536.9  1655.7  1791.4  2044.5  3587.8  7698.0  9692.7  80163.9   220000  1746719788843  1746719794046
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 82.41%,47.24%,100.00%
